	species	climate	environment	depth_min	depth_max
0	Abalistes stellaris	tropical	amphidromous marine demersal		
1	Ablennes hians	subtropical	reef-associated oceanodromous marine brackish	0.0	3.0
2	Abramis brama	temperate	freshwater benthopelagic brackish potamodromous	1.0	
3	Abudefduf vaigiensis	tropical	reef-associated oceanodromous marine	1.0	15.0
4	Acanthaluteres brownii	subtropical	reef-associated marine		50.0
5	Acanthogobius hasta	temperate	amphidromous freshwater marine brackish demersal		
6	Acanthopagrus latus	tropical	freshwater marine brackish demersal		50.0
7	Acanthopagrus schlegelii	subtropical	marine brackish demersal	15.0	
8	Acanthurus leucosternon	tropical	reef-associated marine	0.0	25.0
9	Acanthurus lineatus	tropical	reef-associated marine	0.0	15.0
10	Acantopsis choirorhynchos	tropical	freshwater brackish demersal		
11	Acentrogobius chlorostigmatoides	tropical	freshwater brackish demersal		
12	Acentrogobius pflaumii	subtropical	marine brackish demersal		
13	Acentrophryne dolichonema		bathypelagic marine deep-water	201.0	1105.0
14	Acheilognathus intermedia	temperate	freshwater benthopelagic		
15	Acheilognathus koreensis	temperate	freshwater benthopelagic		
16	Acheilognathus macropterus	subtropical	freshwater benthopelagic brackish		
17	Acheilognathus signifer	temperate	freshwater benthopelagic		
18	Acheilognathus somjinensis	temperate	freshwater benthopelagic		
19	Acheilognathus typus	temperate	freshwater benthopelagic		
20	Acheilognathus yamatsutae	temperate	freshwater benthopelagic		
21	Acipenser baerii	temperate	anadromous freshwater marine brackish demersal	1.0	
22	Acipenser dabryanus	temperate	anadromous freshwater demersal		
23	Acipenser gueldenstaedtii	temperate	anadromous freshwater marine brackish demersal	1.0	
24	Acipenser ruthenus	temperate	freshwater brackish potamodromous demersal	1.0	
25	Acipenser schrenckii	temperate	anadromous freshwater marine brackish demersal		
26	Acipenser sinensis	temperate	anadromous freshwater marine brackish demersal		
27	Acipenser transmontanus	subtropical	anadromous freshwater marine brackish demersal	1.0	122.0
28	Acreichthys tomentosus	tropical	reef-associated marine non-migratory	2.0	15.0
29	Acrossocheilus hemispinus	subtropical	freshwater benthopelagic		
30	Acrossocheilus monticola	temperate	freshwater benthopelagic		
31	Acrossocheilus wenchowensis	subtropical	freshwater benthopelagic brackish		
32	Aeoliscus strigatus	tropical	reef-associated marine	1.0	20.0
33	Aesopia cornuta	tropical	reef-associated marine	8.0	100.0
34	Aethaloperca rogaa	tropical	reef-associated marine non-migratory	3.0	50.0
35	Agonostomus monticola	subtropical	catadromous freshwater marine brackish pelagic-neritic		
36	Albula glossodonta	tropical	reef-associated oceanodromous marine brackish		
37	Alburnus alburnus	temperate	freshwater benthopelagic brackish potamodromous	1.0	
38	Alburnus istanbulensis	subtropical	freshwater benthopelagic		
39	Alburnus tarichi	temperate	freshwater benthopelagic		
40	Aldrichetta forsteri	temperate	catadromous freshwater marine brackish demersal	0.0	50.0
41	Aldrovandia affinis		benthopelagic marine deep-water	730.0	2560.0
42	Alepocephalus agassizii		bathydemersal marine deep-water	600.0	2500.0
43	Alepocephalus australis		bathydemersal marine deep-water	1000.0	2600.0
44	Alepocephalus bairdii		bathydemersal marine deep-water	365.0	1700.0
45	Alepocephalus bicolor		bathydemersal marine deep-water	439.0	1080.0
46	Alepocephalus longiceps		bathydemersal marine deep-water	1240.0	1300.0
47	Alepocephalus productus		bathydemersal marine deep-water	1150.0	3500.0
48	Alepocephalus tenebrosus		bathydemersal marine deep-water	46.0	5500.0
49	Alepocephalus umbriceps		bathydemersal marine deep-water	500.0	2000.0
50	Allocyttus niger		bathypelagic marine deep-water oceanodromous	560.0	1300.0
51	Alosa alosa	temperate	anadromous freshwater marine brackish pelagic-neritic		300.0
52	Alosa pseudoharengus	temperate	anadromous freshwater marine brackish pelagic-neritic	5.0	145.0
53	Alosa sapidissima	temperate	anadromous freshwater marine brackish pelagic-neritic	0.0	250.0
54	Aluterus scriptus	subtropical	reef-associated marine	3.0	120.0
55	Amanses scopas	tropical	reef-associated marine	3.0	18.0
56	Amazonsprattus scintilla	tropical	pelagic freshwater		
57	Amblydoras gonzalezi	tropical	freshwater demersal		
58	Amia calva	temperate	freshwater demersal		
59	Ammodytes hexapterus	temperate	benthopelagic oceanodromous marine brackish	0.0	275.0
60	Ammodytes personatus	temperate	oceanodromous marine demersal		
61	Amphiprion bicinctus	tropical	reef-associated marine non-migratory	1.0	30.0
62	Amphiprion ocellaris	tropical	reef-associated marine non-migratory	1.0	15.0
63	Anarchias sp.	subtropical	reef-associated marine		
64	Anarhichas denticulatus	polar	benthopelagic oceanodromous marine	60.0	1700.0
65	Anarhichas lupus	temperate	oceanodromous marine demersal	1.0	600.0
66	Anarhichas minor	temperate	oceanodromous marine demersal	25.0	600.0
67	Ancherythroculter nigrocauda	subtropical	freshwater benthopelagic		
68	Anguilla anguilla	temperate	catadromous freshwater marine brackish demersal	0.0	700.0
69	Anguilla australis	subtropical	benthopelagic freshwater marine brackish catadromous	0.0	
70	Anguilla bengalensis	tropical	benthopelagic freshwater marine brackish catadromous		
71	Anguilla bicolor	tropical	catadromous freshwater marine brackish demersal		
72	Anguilla celebesensis	tropical	catadromous freshwater marine brackish demersal		
73	Anguilla dieffenbachii	subtropical	catadromous freshwater marine brackish demersal		
74	Anguilla interioris	tropical	catadromous freshwater marine brackish demersal		
75	Anguilla japonica	subtropical	catadromous freshwater marine brackish demersal	1.0	400.0
76	Anguilla luzonensis	tropical	catadromous freshwater marine brackish demersal		
77	Anguilla malgumora	tropical	catadromous freshwater marine brackish demersal		
78	Anguilla marmorata	tropical	catadromous freshwater marine brackish demersal	1.0	400.0
79	Anguilla megastoma	tropical	catadromous freshwater marine brackish demersal		
80	Anguilla mossambica	tropical	catadromous freshwater marine brackish demersal		
81	Anguilla nebulosa	tropical	catadromous freshwater marine brackish demersal	3.0	10.0
82	Anguilla obscura	tropical	catadromous freshwater marine brackish demersal		
83	Anguilla reinhardtii	tropical	catadromous freshwater marine brackish demersal	0.0	1.0
84	Anguilla rostrata	subtropical	catadromous freshwater marine brackish demersal	0.0	464.0
85	Anodontostoma chacunda	tropical	anadromous freshwater marine brackish pelagic-neritic	0.0	50.0
86	Anomalops katoptron	tropical	reef-associated marine	2.0	400.0
87	Anoplocapros lenticularis	subtropical	marine demersal	10.0	220.0
88	Anoplogaster cornuta		bathypelagic marine deep-water	2.0	4992.0
89	Anoplopoma fimbria		bathydemersal oceanodromous marine deep-water	0.0	2740.0
90	Antennarius coccineus	tropical	reef-associated marine	0.0	104.0
91	Antennarius striatus	subtropical	reef-associated marine brackish	10.0	219.0
92	Antennatus coccineus	tropical	reef-associated marine	1.0	75.0
93	Antigonia capros	tropical	marine demersal	50.0	900.0
94	Anyperodon leucogrammicus	tropical	reef-associated marine non-migratory	1.0	80.0
95	Apareiodon affinis	subtropical	freshwater benthopelagic		
96	Apeltes quadracus	temperate	benthopelagic freshwater marine brackish	0.0	3.0
97	Aphredoderus sayanus	temperate	freshwater demersal		
98	Aphyocypris chinensis	temperate	freshwater benthopelagic		
99	Aphyocypris kikuchii	subtropical	freshwater benthopelagic	0.0	5.0
100	Aplocheilus panchax	tropical	freshwater benthopelagic brackish non-migratory		
101	Apogon semilineatus	tropical	reef-associated marine brackish	3.0	100.0
102	Apteronotus albifrons	tropical	freshwater benthopelagic		
103	Aptocyclus ventricosus	temperate	benthopelagic marine	0.0	1700.0
104	Arapaima gigas	tropical	freshwater demersal		
105	Arctogadus glacialis		bathypelagic marine non-migratory deep-water	0.0	1000.0
106	Arctoscopus japonicus		bathydemersal marine deep-water	0.0	550.0
107	Argyrosomus japonicus	tropical	benthopelagic oceanodromous marine brackish		
108	Ariomma indica	tropical	benthopelagic oceanodromous marine	20.0	300.0
109	Ariomma lurida		bathypelagic marine deep-water	350.0	
110	Ariosoma shiroanago	temperate	marine demersal		
111	Arothron firmamentum	subtropical	marine demersal	10.0	360.0
112	Arothron hispidus	tropical	reef-associated marine brackish non-migratory	3.0	50.0
113	Arothron manilensis	tropical	reef-associated marine brackish	2.0	20.0
114	Arothron mappa	tropical	reef-associated marine	4.0	30.0
115	Arripis trutta	subtropical	anadromous marine brackish pelagic-neritic	30.0	39.0
116	Aspasma minima	subtropical	marine demersal		
117	Aspidoparia morar	tropical	freshwater benthopelagic		
118	Assurger anzac	tropical	benthopelagic marine	150.0	400.0
119	Astatotilapia calliptera	tropical	freshwater benthopelagic		
120	Astronotus ocellatus	tropical	freshwater benthopelagic		
121	Astyanax mexicanus	subtropical	freshwater benthopelagic potamodromous		
122	Ataxolepis apus	tropical	bathypelagic marine	1464.0	
123	Ateleopus japonicus		bathydemersal marine deep-water	140.0	600.0
124	Atractosteus spatula	subtropical	freshwater brackish demersal	0.0	
125	Auchenoglanis occidentalis	tropical	freshwater demersal potamodromous		
126	Aulichthys japonicus	temperate	benthopelagic marine		
127	Aulopus japonicus	tropical	marine demersal	85.0	510.0
128	Aulorhynchus flavidus	temperate	benthopelagic marine	0.0	30.0
129	Aulostomus chinensis	tropical	reef-associated marine	3.0	122.0
130	Auriglobus modestus	tropical	freshwater demersal		
131	Auxis rochei	tropical	oceanodromous marine brackish pelagic-neritic	10.0	
132	Auxis thazard	tropical	oceanodromous marine pelagic-neritic	50.0	
133	Avocettina infans		bathypelagic marine deep-water	0.0	4580.0
134	Bagarius yarrelli	tropical	freshwater demersal potamodromous		
135	Bahaba taipingensis	subtropical	benthopelagic marine brackish		
136	Bajacalifornia megalops		bathypelagic marine deep-water	150.0	3200.0
137	Balistapus undulatus	tropical	reef-associated marine	2.0	50.0
138	Balistes vetula	tropical	reef-associated marine	2.0	275.0
139	Balistoides conspicillum	tropical	reef-associated marine brackish	1.0	75.0
140	Barbatula toni	temperate	freshwater demersal		
141	Barbonymus gonionotus	tropical	freshwater benthopelagic potamodromous	15.0	
142	Barbourisia rufa		bathydemersal marine deep-water	120.0	2000.0
143	Barbus barbus	temperate	freshwater benthopelagic potamodromous	10.0	
144	Barbus trimaculatus	tropical	freshwater benthopelagic potamodromous		
145	Barilius bendelisis	tropical	freshwater benthopelagic potamodromous		
146	Bassozetus zenkevitchi		bathypelagic marine deep-water	0.0	6930.0
147	Bathygadus antrodes		bathydemersal marine deep-water	792.0	1200.0
148	Bathylaco nigricans		bathypelagic marine deep-water	450.0	4376.0
149	Bathyprion danae		bathypelagic marine deep-water	100.0	3200.0
150	Bathytroctes breviceps		bathypelagic marine deep-water		1650.0
151	Bathytroctes macrolepis		bathypelagic marine deep-water	2500.0	5850.0
152	Bathytroctes michaelsarsi		bathypelagic marine deep-water	2010.0	5057.0
153	Bathytroctes microlepis		bathypelagic marine deep-water	0.0	4900.0
154	Batrachomoeus trispinosus	tropical	reef-associated marine brackish		
155	Benthodesmus tenuis		benthopelagic marine deep-water	200.0	850.0
156	Benthosema fibulatum		bathypelagic marine deep-water oceanodromous	0.0	2000.0
157	Benthosema glaciale		pelagic-oceanic marine non-migratory deep-water	0.0	1407.0
158	Benthosema pterotum		bathypelagic marine deep-water	10.0	300.0
159	Bertella idiomorpha	temperate	marine demersal	0.0	3475.0
160	Beryx decadactylus		bathydemersal marine deep-water	110.0	1000.0
161	Beryx splendens	subtropical	benthopelagic marine	25.0	1300.0
162	Biwia zezera	temperate	freshwater demersal		
163	Blicca bjoerkna	temperate	freshwater brackish potamodromous demersal	0.0	
164	Boleophthalmus pectinirostris	tropical	non-migratory freshwater marine brackish demersal	0.0	
165	Bolinichthys distofax		pelagic-oceanic marine non-migratory deep-water	100.0	690.0
166	Bolinichthys pyrsobolus		pelagic-oceanic marine deep-water		778.0
167	Boraras maculatus	tropical	freshwater benthopelagic		
168	Boreogadus saida	polar	oceanodromous marine brackish demersal	0.0	400.0
169	Bostrychus sinensis	tropical	amphidromous freshwater marine brackish demersal		
170	Boulengerella maculata	tropical	pelagic freshwater		
171	Boulengeromyrus knoepffleri	tropical	freshwater demersal		
172	Brachaluteres ulvarum	temperate	reef-associated marine	25.0	30.0
173	Brachyhypopomus occidentalis	tropical	freshwater benthopelagic		
174	Brachymystax lenok	temperate	anadromous freshwater benthopelagic		
175	Brama japonica	subtropical	pelagic-oceanic oceanodromous marine	0.0	620.0
176	Branchiostegus albus	temperate	benthopelagic marine	30.0	100.0
177	Branchiostegus argentatus	tropical	marine demersal	51.0	65.0
178	Branchiostegus japonicus	tropical	marine demersal	30.0	200.0
179	Bregmaceros nectabanus	tropical	marine non-migratory pelagic-neritic		350.0
180	Brevimyrus niger	tropical	freshwater benthopelagic		
181	Brevoortia tyrannus	subtropical	oceanodromous marine brackish pelagic-neritic	0.0	50.0
182	Brienomyrus brachyistius	tropical	freshwater benthopelagic brackish		
183	Brienomyrus niger	tropical	freshwater benthopelagic		
184	Bufoceratias thele		bathypelagic marine deep-water	0.0	1500.0
185	Bunocephalus coracoideus	tropical	freshwater demersal		
186	Callionymus curvicornis	subtropical	freshwater marine brackish demersal		
187	Campostoma anomalum	subtropical	freshwater benthopelagic		
188	Campylomormyrus numenius	tropical	freshwater demersal		
189	Cantherhines pardalis	tropical	reef-associated marine	2.0	20.0
190	Canthidermis maculata	subtropical	reef-associated marine	1.0	110.0
191	Canthigaster coronata	tropical	reef-associated marine	6.0	165.0
192	Canthigaster jactator	tropical	reef-associated marine	1.0	30.0
193	Canthigaster rivulata	tropical	reef-associated marine	0.0	350.0
194	Canthigaster valentini	tropical	reef-associated marine	1.0	55.0
195	Carangoides armatus	tropical	reef-associated marine brackish		
196	Caranx melampygus	tropical	reef-associated marine brackish	0.0	190.0
197	Carapus bermudensis	tropical	reef-associated marine non-migratory	1.0	235.0
198	Carassius auratus	subtropical	freshwater benthopelagic potamodromous	0.0	20.0
199	Carassius carassius	temperate	freshwater brackish potamodromous demersal	5.0	
200	Carassius gibelio	temperate	freshwater benthopelagic brackish potamodromous	0.0	
201	Carinotetraodon lorteti	tropical	freshwater benthopelagic		
202	Carinotetraodon salivator	tropical	freshwater benthopelagic	1.0	2.0
203	Caristius macropus		bathypelagic marine deep-water	200.0	1450.0
204	Carnegiella strigata	tropical	pelagic freshwater		
205	Carpiodes carpio	subtropical	freshwater demersal		
206	Cataetyx rubrirostris		bathydemersal marine deep-water	300.0	1000.0
207	Catla catla	subtropical	freshwater benthopelagic brackish potamodromous	5.0	
208	Catostomus commersonii	temperate	catadromous freshwater demersal		
209	Caulophryne jordani		bathypelagic marine deep-water	100.0	1510.0
210	Caulophryne pelagica		bathypelagic marine deep-water		2500.0
211	Centrobranchus choerocephalus		bathypelagic marine deep-water		1050.0
212	Centromochlus perugiae	tropical	freshwater benthopelagic		
213	Centropyge loricula	tropical	reef-associated marine brackish non-migratory	15.0	60.0
214	Cephalopholis argus	tropical	reef-associated marine non-migratory	1.0	40.0
215	Cephalopholis boenak	tropical	reef-associated marine non-migratory	1.0	64.0
216	Cephalopholis sonnerati	tropical	reef-associated marine non-migratory	10.0	150.0
217	Ceratias uranoscopus		bathypelagic marine deep-water	0.0	2091.0
218	Ceratoscopelus maderensis		bathypelagic marine deep-water oceanodromous	51.0	1082.0
219	Cetostoma regani		bathypelagic marine deep-water	0.0	2250.0
220	Chaca bankanensis	tropical	freshwater demersal		
221	Chaenocephalus aceratus	polar	marine demersal	5.0	770.0
222	Chaenomugil proboscideus	tropical	marine pelagic-neritic		
223	Chaenophryne melanorhabdus		bathypelagic marine deep-water		1250.0
224	Chaetodermis penicilligera	tropical	reef-associated marine		
225	Chaetodon auripes	tropical	reef-associated marine non-migratory		
226	Chaetodontoplus septentrionalis	tropical	reef-associated marine non-migratory	5.0	15.0
227	Chaeturichthys stigmatias	temperate	marine demersal		
228	Chalceus macrolepidotus	tropical	pelagic freshwater		
229	Champsocephalus gunnari	polar	pelagic-oceanic marine	0.0	700.0
230	Channa argus	subtropical	freshwater benthopelagic		
231	Channa maculata	tropical	freshwater benthopelagic		
232	Chanodichthys dabryi	temperate	freshwater benthopelagic		
233	Chanodichthys mongolicus	subtropical	freshwater benthopelagic		
234	Chanos chanos	tropical	amphidromous benthopelagic freshwater marine brackish	1.0	30.0
235	Chauliodus sloani		bathypelagic marine deep-water	200.0	4700.0
236	Chaunax abei	tropical	marine demersal	90.0	500.0
237	Chaunax pictus		bathydemersal marine deep-water	200.0	978.0
238	Chaunax tosaensis	temperate	marine demersal		
239	Cheilinus undulatus	tropical	reef-associated marine	1.0	100.0
240	Cheilochromis euchilus	tropical	freshwater benthopelagic non-migratory		
241	Chelon labrosus	subtropical	catadromous freshwater marine brackish demersal		
242	Chelonodon patoca	tropical	anadromous reef-associated freshwater marine brackish	4.0	
243	Chelonodon pleurospilus	subtropical	marine demersal		
244	Chilodus punctatus	tropical	pelagic freshwater		
245	Chilomycterus reticulatus	subtropical	reef-associated marine	20.0	100.0
246	Chionodraco myersi		bathydemersal marine deep-water	200.0	800.0
247	Chirocentrus dorab	tropical	amphidromous reef-associated marine brackish		120.0
248	Chitala blanci	tropical	freshwater demersal potamodromous		
249	Chitala lopis	tropical	freshwater demersal		
250	Chitala ornata	tropical	pelagic freshwater potamodromous		
251	Chlorophthalmus agassizi		bathydemersal marine brackish deep-water	50.0	1000.0
252	Chlorurus sordidus	tropical	reef-associated oceanodromous marine brackish	0.0	50.0
253	Chondrostoma lemmingii	temperate	freshwater benthopelagic		
254	Chromobotia macracanthus	tropical	freshwater demersal		
255	Chrysochir aureus	tropical	benthopelagic marine brackish		
256	Cirrhinus molitorella	tropical	freshwater benthopelagic potamodromous	5.0	20.0
257	Cirrhinus mrigala	tropical	freshwater demersal		
258	Citharinus congicus	tropical	pelagic freshwater		
259	Clinocottus analis	subtropical	marine demersal non-migratory	0.0	18.0
260	Clupanodon thrissa	tropical	anadromous freshwater marine brackish pelagic-neritic	0.0	50.0
261	Clupea harengus	temperate	benthopelagic oceanodromous marine brackish	0.0	364.0
262	Clupea pallasii	temperate	non-migratory freshwater marine brackish pelagic-neritic	0.0	475.0
263	Clupeichthys aesarnensis	tropical	pelagic freshwater potamodromous		
264	Clupeichthys goniognathus	tropical	pelagic freshwater		
265	Clupeichthys perakensis	tropical	pelagic freshwater		
266	Clupeoides borneensis	tropical	pelagic freshwater brackish		
267	Clupeonella cultriventris	temperate	anadromous freshwater marine brackish pelagic-neritic	10.0	13.0
268	Cobitis choii	subtropical	freshwater demersal non-migratory		
269	Cobitis sinensis	subtropical	freshwater benthopelagic		
270	Cobitis striata	temperate	freshwater benthopelagic		
271	Cobitis takatsuensis	temperate	freshwater benthopelagic		
272	Coelophrys brevicaudata	subtropical	marine demersal		1024.0
273	Coelorinchus kishinouyei		bathydemersal marine non-migratory deep-water	250.0	450.0
274	Coilia ectenes	subtropical	anadromous freshwater marine brackish pelagic-neritic	0.0	50.0
275	Coilia lindmani	tropical	pelagic freshwater brackish		
276	Coilia mystus	tropical	amphidromous freshwater marine brackish pelagic-neritic	10.0	
277	Coilia nasus	subtropical	anadromous freshwater marine brackish pelagic-neritic	0.0	50.0
278	Coilia reynaldi	tropical	amphidromous freshwater marine brackish pelagic-neritic	0.0	50.0
279	Colisa lalia	tropical	freshwater benthopelagic		
280	Collichthys lucidus	subtropical	oceanodromous marine demersal		90.0
281	Collichthys niveatus	subtropical	oceanodromous marine demersal		
282	Coloconger cadenati		bathydemersal marine deep-water	270.0	600.0
283	Cololabis saira	subtropical	pelagic-oceanic oceanodromous marine	0.0	230.0
284	Colomesus asellus	tropical	freshwater demersal		
285	Colomesus psittacus	tropical	freshwater marine brackish demersal		40.0
286	Conger myriaster	temperate	oceanodromous marine demersal	320.0	830.0
287	Conocara macropterum		bathypelagic marine deep-water	800.0	2200.0
288	Conocara murrayi		bathypelagic marine deep-water	1200.0	2603.0
289	Coregonus clupeaformis	temperate	anadromous freshwater marine brackish demersal	18.0	128.0
290	Coregonus lavaretus	temperate	anadromous freshwater marine brackish demersal		
291	Coregonus nasus	polar	anadromous freshwater marine brackish demersal		
292	Coregonus oxyrinchus	temperate	anadromous freshwater marine brackish demersal		
293	Coreius guichenoti	subtropical	freshwater benthopelagic		
294	Coreius heterodon	subtropical	freshwater benthopelagic		
295	Coreoleuciscus splendidus	temperate	freshwater demersal		
296	Coreoperca kawamebari	temperate	freshwater benthopelagic		
297	Corydoras rabauti	tropical	freshwater demersal		
298	Coryphaena equiselis	subtropical	pelagic-oceanic oceanodromous marine	0.0	
299	Coryphaena hippurus	subtropical	oceanodromous marine brackish pelagic-neritic	0.0	85.0
300	Cottus hangiongensis	temperate	catadromous freshwater marine brackish demersal		
301	Cottus poecilopus	temperate	freshwater brackish demersal	0.0	15.0
302	Cottus reinii	temperate	freshwater demersal		
303	Cranoglanis bouderius	tropical	freshwater demersal		
304	Crenimugil crenilabis	tropical	reef-associated marine brackish non-migratory	0.0	20.0
305	Crenuchus spilurus	tropical	pelagic freshwater		
306	Creteuchiloglanis kamengensis		freshwater benthopelagic		
307	Cromeria nilotica	tropical	freshwater benthopelagic		
308	Cromeria occidentalis	tropical	freshwater benthopelagic		
309	Cromileptes altivelis	tropical	reef-associated marine	2.0	40.0
310	Crossorhombus azureus	tropical	marine demersal	13.0	60.0
311	Crossostoma lacustre	subtropical	freshwater demersal	1.0	10.0
