	species	climate	environment	depth_min	depth_max
950	Pseudogobius javanicus	tropical	amphidromous benthopelagic freshwater marine brackish		
951	Pseudohemiculter dispar	subtropical	freshwater benthopelagic brackish		
952	Pseudolabrus eoethinus	subtropical	reef-associated marine		
953	Pseudolabrus sieboldi	subtropical	marine demersal		
954	Pseudolaubuca engraulis	subtropical	freshwater benthopelagic		
955	Pseudomonacanthus peroni	tropical	reef-associated marine		
956	Pseudopentaceros richardsoni	temperate	pelagic-oceanic marine	0.0	1000.0
957	Pseudopentaceros wheeleri	temperate	benthopelagic marine	146.0	800.0
958	Pseudopungtungia nigra	temperate	freshwater benthopelagic		
959	Pseudopungtungia tenuicorpus	temperate	freshwater benthopelagic		
960	Pseudorasbora elongata	subtropical	freshwater benthopelagic		
961	Pseudorasbora parva	temperate	freshwater benthopelagic		
962	Pseudorasbora pumila	temperate	freshwater benthopelagic		
963	Pseudotropheus crabro	tropical	freshwater demersal	15.0	18.0
964	Psilorhynchus homaloptera	tropical	freshwater demersal		
965	Psilorhynchus sucatio	subtropical	freshwater demersal		
966	Pteraclis aesticola	temperate	benthopelagic oceanodromous marine	0.0	100.0
967	Pteragogus flagellifer	tropical	reef-associated marine		
968	Pterapogon kauderni	tropical	marine demersal	0.0	16.0
969	Pterocaesio tile	tropical	reef-associated marine non-migratory		60.0
970	Pterygoplichthys disjunctivus	tropical	freshwater demersal		
971	Ptychochromoides katria	tropical	freshwater demersal		
972	Puck pinnata		bathypelagic marine deep-water		
973	Pungitius kaibarae	temperate	benthopelagic freshwater marine brackish		
974	Pungitius pungitius	temperate	benthopelagic freshwater marine brackish anadromous		110.0
975	Pungitius sinensis	temperate	benthopelagic freshwater marine brackish		
976	Pungtungia herzi	temperate	freshwater benthopelagic		
977	Puntius chalakkudiensis	tropical	freshwater benthopelagic		
978	Puntius denisonii	subtropical	freshwater benthopelagic		
979	Puntius semifasciolatus	subtropical	freshwater benthopelagic	0.0	5.0
980	Puntius snyderi	subtropical	freshwater benthopelagic		
981	Puntius tetrazona	tropical	freshwater benthopelagic		
982	Puntius ticto	subtropical	freshwater benthopelagic brackish potamodromous		
983	Pygocentrus nattereri	subtropical	pelagic freshwater		
984	Pythonichthys microphthalmus	tropical	marine demersal	40.0	150.0
985	Rachycentron canadum	subtropical	reef-associated oceanodromous marine brackish	0.0	1200.0
986	Raiamas guttatus	tropical	freshwater benthopelagic potamodromous		
987	Raiamas senegalensis	tropical	freshwater benthopelagic potamodromous		
988	Ranzania laevis	subtropical	pelagic-oceanic marine	1.0	140.0
989	Rasbora cephalotaenia	tropical	freshwater benthopelagic		
990	Rasbora daniconius	tropical	freshwater benthopelagic brackish potamodromous		
991	Rasbora steineri	tropical	freshwater benthopelagic		
992	Rasbora vaterifloris	tropical	freshwater benthopelagic		
993	Rastrelliger brachysoma	tropical	oceanodromous marine brackish pelagic-neritic	15.0	200.0
994	Rastrelliger kanagurta	tropical	oceanodromous marine pelagic-neritic	20.0	90.0
995	Reinhardtius hippoglossoides	boreal	benthopelagic oceanodromous marine	1.0	2000.0
996	Retropinna retropinna	subtropical	anadromous freshwater marine brackish demersal		
997	Rexea nakamurai		benthopelagic marine deep-water	340.0	370.0
998	Rhamphochromis esox	tropical	freshwater demersal	2.0	65.0
999	Rhinecanthus aculeatus	tropical	reef-associated marine	0.0	50.0
1000	Rhinogobius giurinus	subtropical	amphidromous freshwater marine brackish demersal		
1001	Rhinomugil nasutus	tropical	pelagic freshwater brackish		
1002	Rhinomuraena quaesita	tropical	reef-associated marine non-migratory	1.0	57.0
1003	Rhodeus ocellatus	subtropical	freshwater benthopelagic		
1004	Rhodeus pseudosericeus	temperate	pelagic freshwater		
1005	Rhodeus shitaiensis	subtropical	pelagic freshwater		
1006	Rhodeus suigensis	temperate	freshwater benthopelagic		
1007	Rhodeus uyekii	temperate	freshwater benthopelagic		
1008	Rhyacichthys aspro	tropical	amphidromous freshwater marine brackish demersal		
1009	Rhynchactis macrothrix		bathypelagic marine deep-water	0.0	2000.0
1010	Rhynchocypris kumgangensis	temperate	freshwater benthopelagic		
1011	Rhynchocypris lagowskii	temperate	freshwater benthopelagic		
1012	Rhynchopelates oxyrhynchus	tropical	benthopelagic freshwater marine brackish		
1013	Rinoctes nasutus		bathypelagic marine deep-water	2000.0	4156.0
1014	Rivulus marmoratus	tropical	freshwater benthopelagic brackish non-migratory	0.0	
1015	Robinsia catherinae	tropical	marine demersal	140.0	243.0
1016	Rondeletia loricata		bathypelagic marine deep-water	100.0	3500.0
1017	Rudarius ercodes	temperate	reef-associated oceanodromous marine		
1018	Ruvettus pretiosus	subtropical	benthopelagic oceanodromous marine	100.0	800.0
1019	Saccopharynx lavenbergi		bathypelagic marine deep-water	2000.0	3000.0
1020	Sagamichthys abei		bathypelagic marine deep-water	37.0	1500.0
1021	Salangichthys microdon	polar	anadromous freshwater marine brackish demersal		
1022	Salanx ariakensis	subtropical	anadromous freshwater marine brackish demersal		
1023	Salarias fasciatus	tropical	reef-associated marine	0.0	8.0
1024	Salmo salar	temperate	benthopelagic freshwater marine brackish anadromous	0.0	210.0
1025	Salmo trutta	subtropical	anadromous freshwater marine brackish pelagic-neritic	0.0	
1026	Salmostoma bacaila	tropical	freshwater benthopelagic brackish potamodromous		
1027	Salvelinus alpinus	temperate	benthopelagic freshwater marine brackish anadromous	30.0	70.0
1028	Salvelinus fontinalis	temperate	anadromous freshwater marine brackish demersal	15.0	27.0
1029	Sander canadensis	temperate	freshwater demersal	5.0	
1030	Sarcocheilichthys nigripinnis	temperate	freshwater benthopelagic		
1031	Sarcocheilichthys parvus	subtropical	freshwater benthopelagic		
1032	Sarcocheilichthys sinensis	temperate	freshwater benthopelagic		
1033	Sarcocheilichthys variegatus	temperate	freshwater benthopelagic		
1034	Sardina pilchardus	subtropical	oceanodromous freshwater marine brackish pelagic-neritic	10.0	100.0
1035	Sardinella albella	tropical	reef-associated marine	0.0	50.0
1036	Sardinella maderensis	subtropical	oceanodromous marine brackish pelagic-neritic	0.0	80.0
1037	Sardinops melanostictus	subtropical	oceanodromous marine pelagic-neritic	0.0	200.0
1038	Sargocentron rubrum	subtropical	reef-associated marine	1.0	84.0
1039	Sarotherodon melanotheron	tropical	freshwater brackish demersal	3.0	
1040	Satyrichthys amiscus		marine demersal deep-water		
1041	Saurida undosquamis	subtropical	amphidromous reef-associated marine	1.0	350.0
1042	Saurogobio dumerili	subtropical	freshwater benthopelagic		
1043	Scaphiodonichthys acanthopterus	tropical	freshwater benthopelagic		
1044	Scartelaos histophorus	tropical	amphidromous marine brackish demersal		
1045	Scarus forsteni	tropical	reef-associated marine	3.0	30.0
1046	Scarus ghobban	tropical	reef-associated marine brackish	3.0	36.0
1047	Scarus rubroviolaceus	tropical	reef-associated marine	1.0	36.0
1048	Scarus schlegeli	tropical	reef-associated marine	1.0	50.0
1049	Scatophagus argus	tropical	amphidromous reef-associated freshwater marine brackish	1.0	4.0
1050	Schedophilus velaini		bathypelagic marine deep-water	40.0	500.0
1051	Schistura balteata	tropical	freshwater benthopelagic		
1052	Schizopygopsis thermalis		freshwater benthopelagic		
1053	Schizopygopsis younghusbandi		freshwater benthopelagic		
1054	Schizothorax biddulphi	temperate	freshwater benthopelagic		
1055	Schizothorax macropogon		freshwater benthopelagic		
1056	Schizothorax oconnori		freshwater benthopelagic		
1057	Schizothorax richardsonii	tropical	freshwater demersal potamodromous		
1058	Schizothorax waltoni		freshwater benthopelagic		
1059	Schizothorax wangchiachii	subtropical	freshwater benthopelagic		
1060	Sciades seemanni	tropical	freshwater marine brackish demersal		
1061	Sciaenops ocellatus	subtropical	oceanodromous marine brackish demersal	10.0	
1062	Scleropages formosus	tropical	freshwater benthopelagic		
1063	Scobinichthys granulatus	temperate	reef-associated marine		
1064	Scomber australasicus	subtropical	oceanodromous marine pelagic-neritic	87.0	200.0
1065	Scomber colias	temperate	marine brackish pelagic-neritic		
1066	Scomber japonicus	subtropical	oceanodromous marine pelagic-neritic	0.0	300.0
1067	Scomber scombrus	temperate	oceanodromous marine brackish pelagic-neritic	0.0	1000.0
1068	Scomberomorus cavalla	tropical	reef-associated oceanodromous marine	5.0	140.0
1069	Scomberomorus munroi	tropical	oceanodromous marine pelagic-neritic		100.0
1070	Scomberomorus niphonius	temperate	oceanodromous marine pelagic-neritic	0.0	200.0
1071	Scomberomorus semifasciatus	tropical	oceanodromous marine brackish pelagic-neritic		100.0
1072	Scombrolabrax heterolepis	subtropical	benthopelagic oceanodromous marine	100.0	900.0
1073	Scopelengys tristis		bathypelagic marine deep-water oceanodromous	400.0	1830.0
1074	Scopelogadus mizolepis		bathypelagic marine deep-water	300.0	3385.0
1075	Scorpis lineolata	temperate	reef-associated marine brackish	1.0	30.0
1076	Sebastiscus marmoratus	tropical	oceanodromous marine demersal		
1077	Sebates schlegeli	temperate	marine demersal	3.0	100.0
1078	Seriola dumerili	subtropical	reef-associated oceanodromous marine	1.0	360.0
1079	Seriola lalandi	subtropical	benthopelagic marine brackish	3.0	825.0
1080	Seriola quinqueradiata	subtropical	oceanodromous marine demersal	100.0	
1081	Serrivomer beanii		bathypelagic marine deep-water	0.0	5998.0
1082	Serrivomer sector		bathypelagic marine deep-water	0.0	3243.0
1083	Setipinna melanochir	tropical	freshwater marine brackish pelagic-neritic		
1084	Setipinna taty	tropical	oceanodromous marine brackish pelagic-neritic	0.0	50.0
1085	Sewellia lineolata	tropical	freshwater demersal		
1086	Sicamugil cascasia	tropical	freshwater demersal potamodromous		
1087	Sicyopterus japonicus	subtropical	amphidromous freshwater marine brackish demersal		
1088	Siganus fuscescens	tropical	reef-associated oceanodromous marine brackish		50.0
1089	Siganus unimaculatus	tropical	reef-associated marine		30.0
1090	Sillago sihama	tropical	amphidromous reef-associated marine brackish	0.0	60.0
1091	Silurus asotus	temperate	freshwater demersal		
1092	Silurus glanis	temperate	freshwater benthopelagic brackish non-migratory	0.0	30.0
1093	Silurus lanzhouensis	temperate	freshwater demersal		
1094	Silurus meridionalis	subtropical	freshwater demersal		
1095	Simenchelys parasitica		bathydemersal marine deep-water	136.0	2620.0
1096	Sinibotia superciliaris	subtropical	freshwater demersal		
1097	Sinibrama macrops	subtropical	freshwater benthopelagic		
1098	Siniperca chuatsi	temperate	freshwater benthopelagic	10.0	
1099	Siniperca knerii	temperate	freshwater benthopelagic brackish		
1100	Siniperca obscura	temperate	freshwater benthopelagic		
1101	Siniperca scherzeri	temperate	freshwater benthopelagic brackish		
1102	Sinocyclocheilus altishoulderus	temperate	freshwater benthopelagic		
1103	Sinocyclocheilus furcodorsalis	tropical	freshwater benthopelagic		
1104	Sinocyclocheilus grahami	temperate	freshwater benthopelagic brackish		
1105	Sinogastromyzon puliensis	subtropical	freshwater demersal	0.0	10.0
1106	Sirembo imberbis	subtropical	marine demersal	100.0	200.0
1107	Solea senegalensis	subtropical	marine demersal	12.0	65.0
1108	Solenostomus cyanopterus	tropical	reef-associated marine	0.0	25.0
1109	Solivomer arenidens		benthopelagic marine deep-water	1413.0	1413.0
1110	Sphoeroides annulatus	subtropical	reef-associated marine brackish	0.0	11.0
1111	Sphoeroides pachygaster	subtropical	benthopelagic marine	50.0	480.0
1112	Sphoeroides parvus	subtropical	marine brackish demersal		
1113	Sphoeroides testudineus	subtropical	reef-associated marine brackish		48.0
1114	Sphyraena barracuda	subtropical	reef-associated marine brackish	1.0	100.0
1115	Sphyraena japonica	temperate	marine pelagic-neritic		
1116	Spicara maena	subtropical	marine pelagic-neritic	30.0	130.0
1117	Spinachia spinachia	temperate	benthopelagic marine brackish non-migratory		
1118	Spinibarbus caldwelli	subtropical	freshwater benthopelagic	2.0	30.0
1119	Spinibarbus denticulatus	subtropical	freshwater benthopelagic		
1120	Spinibarbus sinensis	subtropical	freshwater benthopelagic		
1121	Spratelloides delicatulus	tropical	reef-associated marine	0.0	50.0
1122	Spratelloides gracilis	tropical	marine pelagic-neritic	10.0	
1123	Sprattus antipodum	subtropical	marine pelagic-neritic	0.0	72.0
1124	Sprattus muelleri	subtropical	marine pelagic-neritic	28.0	110.0
1125	Sprattus sprattus	temperate	oceanodromous marine brackish pelagic-neritic	10.0	150.0
1126	Squalidus wolterstorffi	subtropical	freshwater benthopelagic brackish		
1127	Squaliobarbus curriculus	subtropical	freshwater benthopelagic		
1128	Squalogadus modificatus		bathypelagic marine deep-water	600.0	1740.0
1129	Stemonidium hypomelas		bathypelagic marine deep-water	500.0	1229.0
1130	Stenobrachius leucopsarus		bathypelagic marine deep-water	0.0	3400.0
1131	Stenodus leucichthys	boreal	anadromous freshwater marine brackish demersal	10.0	
1132	Stephanolepis cirrhifer	temperate	oceanodromous marine demersal		
1133	Stiphodon alcedo	subtropical	freshwater demersal		
1134	Stolephorus chinensis	tropical	marine pelagic-neritic	0.0	50.0
1135	Stolephorus waitei	tropical	oceanodromous freshwater marine brackish pelagic-neritic	0.0	50.0
1136	Stylephorus chordatus		bathypelagic marine deep-water		
1137	Sufflamen fraenatum	tropical	reef-associated oceanodromous marine	8.0	186.0
1138	Sundasalanx mekongensis	tropical	freshwater demersal		
1139	Sundasalanx praecox	tropical	freshwater demersal		
1140	Symbolophorus californiensis	subtropical	pelagic-oceanic marine	0.0	1497.0
1141	Synaphobranchus kaupii		bathydemersal marine deep-water	120.0	4800.0
1142	Synbranchus marmoratus	subtropical	freshwater brackish potamodromous demersal		
1143	Synechogobius ommaturus	subtropical	freshwater demersal		
1144	Synodontis schoutedeni	tropical	freshwater benthopelagic		
1145	Synodus variegatus	tropical	reef-associated marine	3.0	121.0
1146	Taaningichthys minimus		bathypelagic marine deep-water oceanodromous	90.0	800.0
1147	Takifugu chinensis	temperate	marine demersal		
1148	Takifugu chrysops	temperate	marine demersal		
1149	Takifugu exascurus	temperate	marine demersal		
1150	Takifugu niphobles	temperate	marine demersal		
1151	Takifugu oblongus	tropical	marine brackish demersal		
1152	Takifugu obscurus	subtropical	anadromous freshwater marine brackish demersal		
1153	Takifugu ocellatus	subtropical	anadromous freshwater marine brackish demersal		
1154	Takifugu pardalis	temperate	marine demersal		
1155	Takifugu poecilonotus	temperate	freshwater marine brackish demersal		
1156	Takifugu porphyreus	temperate	marine demersal		
1157	Takifugu rubripes	temperate	non-migratory freshwater marine brackish demersal		
1158	Takifugu snyderi	subtropical	marine demersal		
1159	Takifugu stictonotus	temperate	marine demersal		
1160	Takifugu vermicularis	temperate	marine demersal		
1161	Takifugu xanthopterus	temperate	marine demersal		
1162	Talismania bifurcata		bathydemersal marine deep-water	300.0	2000.0
1163	Tanichthys albonubes	tropical	freshwater demersal		
1164	Taractes asper	temperate	pelagic-oceanic oceanodromous marine	1.0	140.0
1165	Tenualosa ilisha	tropical	anadromous freshwater marine brackish pelagic-neritic		200.0
1166	Tenualosa thibaudeaui	tropical	pelagic freshwater potamodromous		
1167	Tenualosa toli	tropical	anadromous freshwater marine brackish pelagic-neritic	10.0	
1168	Tetrabrachium ocellatum	tropical	marine demersal		51.0
1169	Tetractenos glaber	subtropical	freshwater marine brackish demersal		
1170	Tetragonurus atlanticus	subtropical	pelagic-oceanic oceanodromous marine	0.0	800.0
1171	Tetragonurus cuvieri		bathypelagic marine deep-water oceanodromous	1.0	800.0
1172	Tetranematichthys quadrifilis	tropical	freshwater demersal		
1173	Tetraodon biocellatus	tropical	freshwater demersal		
1174	Tetraodon cutcutia	tropical	freshwater brackish potamodromous demersal		
1175	Tetraodon mbu	tropical	freshwater brackish demersal		
1176	Tetraodon miurus	tropical	freshwater demersal		
1177	Tetraodon nigroviridis	tropical	freshwater brackish demersal		
1178	Tetraodon palembangensis	tropical	freshwater demersal		
1179	Tetrapturus angustirostris	subtropical	pelagic-oceanic oceanodromous marine	0.0	1830.0
1180	Tetrapturus audax	subtropical	pelagic-oceanic oceanodromous marine	0.0	200.0
1181	Thamnaconus modestus	tropical	reef-associated oceanodromous marine		
1182	Thaumatichthys pagidostomus		bathydemersal marine deep-water	1392.0	1393.0
1183	Theragra finnmarchica	polar	benthopelagic marine		
1184	Thryssa baelama	tropical	reef-associated marine brackish	0.0	50.0
1185	Thunnus alalunga	subtropical	pelagic-oceanic oceanodromous marine	0.0	600.0
1186	Thunnus albacares	tropical	pelagic-oceanic oceanodromous marine brackish	1.0	250.0
1187	Thunnus maccoyii	temperate	pelagic-oceanic oceanodromous marine	50.0	2743.0
1188	Thunnus obesus	subtropical	pelagic-oceanic oceanodromous marine	0.0	250.0
1189	Thunnus orientalis	subtropical	pelagic-oceanic oceanodromous marine brackish	1.0	200.0
1190	Thunnus thynnus	subtropical	pelagic-oceanic oceanodromous marine brackish	0.0	985.0
1191	Thunnus tonggol	tropical	oceanodromous marine pelagic-neritic	10.0	
1192	Thymallus arcticus	temperate	freshwater benthopelagic	30.0	
1193	Thymallus thymallus	temperate	freshwater benthopelagic brackish non-migratory	15.0	
1194	Thyrsitoides marleyi		benthopelagic marine deep-water	0.0	400.0
1195	Tinca tinca	temperate	freshwater brackish potamodromous demersal	1.0	
1196	Tor putitora	subtropical	freshwater benthopelagic potamodromous	0.0	
1197	Tor sinensis	tropical	freshwater benthopelagic potamodromous		
1198	Torquigener brevipennis	subtropical	marine demersal	20.0	100.0
1199	Torquigener hypselogeneion	tropical	marine brackish demersal	18.0	22.0
1200	Torquigener pleurogramma	subtropical	marine brackish demersal		30.0
1201	Toxotes chatareus	tropical	pelagic amphidromous freshwater brackish		
1202	Trachidermus fasciatus	subtropical	benthopelagic freshwater marine brackish catadromous		
1203	Trachinops taeniatus	temperate	marine pelagic-neritic		
1204	Trachinotus ovatus	subtropical	marine brackish pelagic-neritic	50.0	200.0
1205	Trachipterus trachipterus		bathypelagic marine deep-water	100.0	600.0
1206	Trachurus japonicus	tropical	oceanodromous marine pelagic-neritic	0.0	275.0
1207	Trachurus trachurus	subtropical	oceanodromous marine pelagic-neritic	0.0	1050.0
1208	Trachyrincus murrayi	temperate	benthopelagic marine	0.0	1630.0
1209	Trematocranus placodon	tropical	freshwater demersal		32.0
1210	Triacanthodes anomalus	tropical	marine demersal		
1211	Triacanthus biaculeatus	tropical	marine brackish demersal		60.0
1212	Tribolodon brandtii	temperate	anadromous freshwater marine brackish demersal		
1213	Tribolodon hakonensis	temperate	freshwater benthopelagic brackish		
1214	Tribolodon nakamurai	subtropical	freshwater benthopelagic		
1215	Tribolodon sachalinensis	temperate	benthopelagic freshwater marine brackish anadromous		
1216	Trichiurus japonicus	subtropical	amphidromous benthopelagic marine brackish	0.0	589.0
1217	Trichiurus lepturus	subtropical	amphidromous benthopelagic marine brackish	0.0	589.0
1218	Trichomycterus areolatus	temperate	freshwater benthopelagic		
1219	Tridentiger barbatus	temperate	brackish demersal		
1220	Tridentiger bifasciatus	temperate	amphidromous freshwater marine brackish demersal		
1221	Trigonostigma espei	tropical	freshwater benthopelagic		
1222	Trigonostigma heteromorpha	tropical	freshwater benthopelagic		
1223	Triodon macropterus	tropical	reef-associated marine	50.0	300.0
1224	Triphoturus nigrescens		bathypelagic marine deep-water oceanodromous	100.0	1000.0
1225	Triplophysa bleekeri	subtropical	freshwater benthopelagic		
1226	Triplophysa rosa	subtropical	freshwater demersal		
1227	Triplophysa stoliczkai	subtropical	freshwater benthopelagic		
1228	Triso dermopterus	tropical	marine demersal	22.0	103.0
1229	Trixiphichthys weberi	tropical	marine demersal		65.0
1230	Tropheus duboisi	tropical	freshwater demersal		
1231	Tropheus moorii	tropical	freshwater benthopelagic		
1232	Trypauchen vagina	tropical	amphidromous marine brackish demersal		
1233	Tylerius spinosissimus		bathydemersal marine deep-water	250.0	435.0
1234	Tylochromis polylepis	tropical	freshwater demersal		
1235	Umbra pygmaea	temperate	freshwater demersal non-migratory		
1236	Vaillantella maassi	tropical	freshwater demersal		
1237	Valamugil cunnesius	tropical	catadromous freshwater marine brackish demersal		
1238	Variola albimarginata	tropical	reef-associated marine	4.0	200.0
1239	Variola louti	tropical	reef-associated marine non-migratory	3.0	250.0
1240	Ventrifossa garmani		bathydemersal marine non-migratory deep-water	200.0	720.0
1241	Verasper moseri	temperate	marine demersal	1.0	900.0
1242	Verasper variegatus	subtropical	marine demersal		
1243	Xanthichthys auromarginatus	tropical	reef-associated marine	8.0	150.0
1244	Xenobalistes tumidipectoris	tropical	marine demersal		
1245	Xenocypris argentea	subtropical	freshwater benthopelagic		
1246	Xenocypris davidi	subtropical	freshwater benthopelagic brackish		
1247	Xenodermichthys copei		bathypelagic marine deep-water	100.0	2650.0
1248	Xenomystus nigri	tropical	freshwater demersal		
1249	Xenotoca eiseni	temperate	freshwater demersal		
1250	Xiphias gladius	temperate	pelagic-oceanic oceanodromous marine	0.0	800.0
1251	Xiphophorus hellerii	tropical	freshwater benthopelagic brackish non-migratory		
1252	Xiphophorus maculatus	tropical	freshwater benthopelagic non-migratory		
1253	Xyrauchen texanus	temperate	freshwater demersal potamodromous		
1254	Yaoshanicus arcus	subtropical	freshwater benthopelagic		
1255	Zacco platypus	subtropical	freshwater benthopelagic		
1256	Zacco sieboldii	subtropical	freshwater benthopelagic		
1257	Zalieutes elater	tropical	marine demersal	18.0	113.0
1258	Zanclus cornutus	subtropical	reef-associated marine	3.0	182.0
1259	Zebrasoma flavescens	tropical	reef-associated marine	2.0	46.0
1260	Zebrias zebra	tropical	reef-associated marine brackish		
1261	Zenion japonicum		bathydemersal marine deep-water	200.0	400.0
1262	Zenopsis nebulosus		benthopelagic marine deep-water	30.0	800.0
1263	Zeus faber	temperate	benthopelagic oceanodromous marine brackish	5.0	400.0
1264	Zu cristatus		bathypelagic marine deep-water		90.0
