species	temperature_min	temperature_max	climate	environment
Scarus rubroviolaceus			tropical	reef-associated marine
Elassoma evergladei	10.0	30.0	temperate	freshwater demersal
Synechogobius ommaturus			subtropical	freshwater demersal
Auxis rochei		28.0	tropical	oceanodromous marine brackish pelagic-neritic
Moxostoma poecilurum			temperate	freshwater demersal
Psettodes erumei			tropical	marine demersal
Spratelloides delicatulus			tropical	reef-associated marine
Sebastiscus marmoratus			tropical	oceanodromous marine demersal
Tetrapturus angustirostris			subtropical	pelagic-oceanic oceanodromous marine
Mola mola	12.0	25.0	subtropical	pelagic-oceanic oceanodromous marine
Brienomyrus niger	22.0	24.0	tropical	freshwater benthopelagic
Stiphodon alcedo			subtropical	freshwater demersal
Trichiurus lepturus			subtropical	amphidromous benthopelagic marine brackish
Diaphus theta				bathypelagic marine deep-water
Pangasius larnaudii			tropical	freshwater benthopelagic potamodromous
Cromeria nilotica			tropical	freshwater benthopelagic
Acanthurus lineatus	24.0	30.0	tropical	reef-associated marine
Chaenomugil proboscideus			tropical	marine pelagic-neritic
Oncorhynchus keta		24.0	temperate	benthopelagic freshwater marine brackish anadromous
Gudusia chapra			subtropical	pelagic freshwater brackish potamodromous
Serrivomer beanii				bathypelagic marine deep-water
Liobagrus marginatoides			temperate	freshwater benthopelagic
Odonus niger			tropical	reef-associated oceanodromous marine
Menidia menidia	1.0	33.0	temperate	oceanodromous marine brackish pelagic-neritic
Lagocephalus sceleratus			tropical	reef-associated marine
Onychostoma simum			subtropical	freshwater benthopelagic
Monocentris japonicus			tropical	reef-associated marine
Crossorhombus azureus			tropical	marine demersal
Balistapus undulatus			tropical	reef-associated marine
Helogenes marmoratus	22.0	26.0	tropical	freshwater demersal
Trachinotus ovatus			subtropical	marine brackish pelagic-neritic
Bassozetus zenkevitchi				bathypelagic marine deep-water
Pseudorasbora parva	5.0	22.0	temperate	freshwater benthopelagic
Aeoliscus strigatus			tropical	reef-associated marine
Muraenesox bagio			tropical	oceanodromous marine brackish demersal
Sinibotia superciliaris	20.0	26.0	subtropical	freshwater demersal
Astyanax mexicanus			subtropical	freshwater benthopelagic potamodromous
Gnathopogon elongatus			temperate	freshwater benthopelagic
Sicamugil cascasia			tropical	freshwater demersal potamodromous
Sinocyclocheilus grahami			temperate	freshwater benthopelagic brackish
Avocettina infans				bathypelagic marine deep-water
Rhodeus pseudosericeus			temperate	pelagic freshwater
Nesiarchus nasutus				benthopelagic marine deep-water
Agonostomus monticola	20.0	31.0	subtropical	catadromous freshwater marine brackish pelagic-neritic
Pagrus major			subtropical	oceanodromous marine demersal
Oryzias sarasinorum	24.0	29.0	tropical	pelagic freshwater
Retropinna retropinna			subtropical	anadromous freshwater marine brackish demersal
Campylomormyrus numenius	22.0	25.0	tropical	freshwater demersal
Hypentelium nigricans			temperate	freshwater demersal potamodromous
Labracinus cyclophthalmus	22.0	26.0	tropical	reef-associated marine
Echeneis naucrates			subtropical	reef-associated marine brackish
Bostrychus sinensis			tropical	amphidromous freshwater marine brackish demersal
Beryx decadactylus				bathydemersal marine deep-water
Spratelloides gracilis			tropical	marine pelagic-neritic
Sicyopterus japonicus			subtropical	amphidromous freshwater marine brackish demersal
Oryzias minutillus	22.0	25.0	tropical	freshwater benthopelagic non-migratory
Auriglobus modestus	23.0	28.0	tropical	freshwater demersal
Sundasalanx mekongensis			tropical	freshwater demersal
Sardinops melanostictus	9.0	21.0	subtropical	oceanodromous marine pelagic-neritic
Leiocassis crassilabris	15.0	25.0	subtropical	freshwater demersal
Gnathopogon strigatus			temperate	freshwater benthopelagic
Lepomis macrochirus	1.0	36.0	subtropical	freshwater benthopelagic
Pagrus auriga			subtropical	benthopelagic oceanodromous marine
Potamothrissa obtusirostris			tropical	pelagic freshwater
Odontobutis platycephala			subtropical	freshwater benthopelagic
Coelophrys brevicaudata			subtropical	marine demersal
Umbra pygmaea	4.0	23.0	temperate	freshwater demersal non-migratory
Scarus schlegeli			tropical	reef-associated marine
Silurus asotus	5.0	25.0	temperate	freshwater demersal
Epinephelus septemfasciatus			tropical	reef-associated marine non-migratory
Helicolenus hilgendorfi			temperate	marine demersal
Microrasbora erythromicron	21.0	25.0	tropical	freshwater benthopelagic
Diretmus argenteus				bathypelagic marine deep-water
Liza affinis			subtropical	marine brackish pelagic-neritic
Creteuchiloglanis kamengensis				freshwater benthopelagic
Oedalechilus labeo			subtropical	marine brackish demersal
Microthrissa congica			tropical	pelagic freshwater
Parachanna insignis	22.0	28.0	tropical	freshwater benthopelagic
Chalceus macrolepidotus	23.0	28.0	tropical	pelagic freshwater
Torquigener hypselogeneion			tropical	marine brackish demersal
Ptychochromoides katria			tropical	freshwater demersal
Labichthys carinatus				bathypelagic marine deep-water
Hypophthalmichthys molitrix	6.0	28.0	subtropical	freshwater benthopelagic potamodromous
Linophryne bicornis				bathypelagic marine deep-water
Phoxinus perenurus	15.0	23.0	subtropical	freshwater benthopelagic non-migratory
Pellonula leonensis			tropical	anadromous freshwater marine brackish pelagic-neritic
Diplacanthopoma brachysoma				bathydemersal marine deep-water
Polymixia lowei				bathydemersal marine deep-water
Cobitis sinensis			subtropical	freshwater benthopelagic
Diretmoides veriginae				bathypelagic marine deep-water
Tropheus moorii	24.0	26.0	tropical	freshwater benthopelagic
Pegasus volitans			tropical	marine brackish demersal
Thunnus maccoyii	5.0	20.0	temperate	pelagic-oceanic oceanodromous marine
Scorpis lineolata			temperate	reef-associated marine brackish
Myomyrus macrops			tropical	freshwater demersal
Gymnogobius petschiliensis			temperate	amphidromous freshwater marine brackish demersal
Astronotus ocellatus	22.0	25.0	tropical	freshwater benthopelagic
Campostoma anomalum			subtropical	freshwater benthopelagic
Clupeoides borneensis			tropical	pelagic freshwater brackish
Oryzias dancena			tropical	freshwater benthopelagic brackish
Cranoglanis bouderius			tropical	freshwater demersal
Scomber colias			temperate	marine brackish pelagic-neritic
Ijimaia dofleini				bathydemersal marine deep-water
Lepidocybium flavobrunneum				benthopelagic oceanodromous marine deep-water
Alepocephalus tenebrosus				bathydemersal marine deep-water
Platytroctes apus				bathypelagic marine deep-water
Gymnothorax kidako			tropical	reef-associated marine
Nannobrachium ritteri				bathypelagic marine deep-water
Notropis stramineus			temperate	freshwater benthopelagic
Hyporthodus octofasciatus				bathydemersal marine deep-water
Xiphias gladius	5.0	27.0	temperate	pelagic-oceanic oceanodromous marine
Zalieutes elater			tropical	marine demersal
Antennarius striatus			subtropical	reef-associated marine brackish
Niwaella delicata			temperate	freshwater demersal
Poromitra oscitans				bathypelagic marine deep-water
Crenimugil crenilabis			tropical	reef-associated marine brackish non-migratory
Polypterus delhezi	26.0	28.0	tropical	freshwater demersal
Ictiobus bubalus		32.0	temperate	freshwater demersal
Saurogobio dumerili			subtropical	freshwater benthopelagic
Euthynnus alletteratus			tropical	reef-associated oceanodromous marine brackish
Pseudobagrus trilineatus			subtropical	freshwater benthopelagic
Synodus variegatus			tropical	reef-associated marine
Benthosema glaciale				pelagic-oceanic marine non-migratory deep-water
Paramonacanthus choirocephalus			tropical	marine demersal
Diogenichthys atlanticus				bathypelagic marine deep-water oceanodromous
Carpiodes carpio			subtropical	freshwater demersal
Bathylaco nigricans				bathypelagic marine deep-water
Aluterus scriptus			subtropical	reef-associated marine
Escualosa thoracata			tropical	amphidromous freshwater marine brackish pelagic-neritic
Puntius semifasciolatus	18.0	24.0	subtropical	freshwater benthopelagic
Cetostoma regani				bathypelagic marine deep-water
Hemiodopsis gracilis	23.0	27.0	tropical	freshwater benthopelagic
Solea senegalensis			subtropical	marine demersal
Cheilinus undulatus			tropical	reef-associated marine
Hypselecara temporalis	25.0	30.0	tropical	freshwater benthopelagic
Neoscopelus macrolepidotus				bathypelagic marine non-migratory deep-water
Eubalichthys mosaicus			temperate	reef-associated marine
Polyodon spathula	10.0	18.0	temperate	freshwater demersal potamodromous
Aulopus japonicus			tropical	marine demersal
Oryzias javanicus	22.0	25.0	tropical	freshwater benthopelagic brackish non-migratory
Danacetichthys galathenus				bathypelagic marine deep-water
Liobagrus nigricauda			subtropical	freshwater benthopelagic
Lampanyctus crocodilus				bathypelagic marine deep-water oceanodromous
Silurus meridionalis			subtropical	freshwater demersal
Amphiprion bicinctus			tropical	reef-associated marine non-migratory
Setipinna taty			tropical	oceanodromous marine brackish pelagic-neritic
Nibea albiflora			temperate	benthopelagic marine
Scombrolabrax heterolepis			subtropical	benthopelagic oceanodromous marine
Fundulus olivaceus	15.0	25.0	temperate	freshwater benthopelagic non-migratory
Sinocyclocheilus altishoulderus			temperate	freshwater benthopelagic
Parahucho perryi			temperate	benthopelagic freshwater marine brackish anadromous
Sphoeroides annulatus			subtropical	reef-associated marine brackish
Bahaba taipingensis			subtropical	benthopelagic marine brackish
Zeus faber			temperate	benthopelagic oceanodromous marine brackish
Moolgarda cunnesius			tropical	catadromous freshwater marine brackish demersal
Channa maculata			tropical	freshwater benthopelagic
Gillichthys mirabilis			subtropical	marine brackish demersal
Oryzias latipes	18.0	24.0	subtropical	amphidromous freshwater benthopelagic brackish
Gobiobotia brevibarba			temperate	freshwater benthopelagic
Xenocypris davidi			subtropical	freshwater benthopelagic brackish
Xiphophorus maculatus	18.0	25.0	tropical	freshwater benthopelagic non-migratory
Eleotris acanthopoma			tropical	amphidromous freshwater marine brackish demersal
Zebrasoma flavescens	24.0	28.0	tropical	reef-associated marine
Nematalosa come			tropical	marine pelagic-neritic
Oryzias melastigma			tropical	freshwater benthopelagic brackish
Pelteobagrus fulvidraco	16.0	25.0	temperate	freshwater demersal non-migratory
Galaxias maculatus	10.0	22.0	temperate	benthopelagic freshwater marine brackish catadromous
Sprattus sprattus			temperate	oceanodromous marine brackish pelagic-neritic
Alburnus alburnus	10.0	20.0	temperate	freshwater benthopelagic brackish potamodromous
Champsocephalus gunnari			polar	pelagic-oceanic marine
Pholis crassispina			temperate	marine demersal
Dorosoma cepedianum		32.0	subtropical	anadromous freshwater marine brackish pelagic-neritic
Neoceratias spinifer				marine demersal deep-water
Polypterus palmas	26.0	28.0	tropical	freshwater demersal
Gnathonemus petersii	22.0	28.0	tropical	freshwater demersal
Chaetodermis penicilligera			tropical	reef-associated marine
Osteochilus salsburyi			tropical	freshwater benthopelagic
Rachycentron canadum			subtropical	reef-associated oceanodromous marine brackish
Anguilla reinhardtii			tropical	catadromous freshwater marine brackish demersal
Yaoshanicus arcus			subtropical	freshwater benthopelagic
Harpadon nehereus			tropical	benthopelagic oceanodromous marine brackish
Enophrys diceraus			temperate	marine demersal
Melanocetus johnsoni				bathypelagic marine deep-water
Parazen pacificus				bathydemersal marine deep-water
Melanogrammus aeglefinus			temperate	oceanodromous marine demersal
Gymnocypris namensis			temperate	freshwater benthopelagic
Hippocampus kuda			tropical	reef-associated marine brackish non-migratory
Crenuchus spilurus	24.0	28.0	tropical	pelagic freshwater
Gyrinomimus sp.			polar	benthopelagic marine
Tetraodon mbu	24.0	26.0	tropical	freshwater brackish demersal
Bathytroctes breviceps				bathypelagic marine deep-water
Pomatomus saltatrix			subtropical	pelagic-oceanic oceanodromous marine brackish
Larimichthys polyactis			subtropical	benthopelagic oceanodromous marine
Anarhichas minor			temperate	oceanodromous marine demersal
Lethrinus obsoletus			tropical	reef-associated marine non-migratory
Makaira mazara	21.0		subtropical	pelagic-oceanic oceanodromous marine
Pareuchiloglanis gracilicaudata			temperate	freshwater benthopelagic
Cubiceps pauciradiatus			tropical	bathypelagic marine
Chitala blanci			tropical	freshwater demersal potamodromous
Trichiurus japonicus			subtropical	amphidromous benthopelagic marine brackish
Synbranchus marmoratus	22.0	34.0	subtropical	freshwater brackish potamodromous demersal
Raiamas guttatus			tropical	freshwater benthopelagic potamodromous
Valamugil cunnesius			tropical	catadromous freshwater marine brackish demersal
Coregonus clupeaformis			temperate	anadromous freshwater marine brackish demersal
Chaeturichthys stigmatias			temperate	marine demersal
Alepocephalus agassizii				bathydemersal marine deep-water
Schedophilus velaini				bathypelagic marine deep-water
Pseudorasbora elongata			subtropical	freshwater benthopelagic
Pteraclis aesticola			temperate	benthopelagic oceanodromous marine
Cynoponticus ferox			subtropical	marine demersal
Synaphobranchus kaupii	-1.0	10.0		bathydemersal marine deep-water
Triodon macropterus			tropical	reef-associated marine
Chanodichthys dabryi			temperate	freshwater benthopelagic
Micropterus dolomieu	10.0	30.0	temperate	freshwater benthopelagic
Liobagrus anguillicauda			temperate	freshwater benthopelagic
Scomberomorus munroi			tropical	oceanodromous marine pelagic-neritic
Salarias fasciatus			tropical	reef-associated marine
Tetraodon cutcutia	24.0	28.0	tropical	freshwater brackish potamodromous demersal
Scomberomorus semifasciatus			tropical	oceanodromous marine brackish pelagic-neritic
Amazonsprattus scintilla			tropical	pelagic freshwater
Leiocassis longirostris			temperate	freshwater demersal
Oryzias luzonensis			tropical	freshwater benthopelagic non-migratory
Himantolophus groenlandicus				bathypelagic marine deep-water
Nannoperca australis	10.0	30.0	temperate	freshwater benthopelagic
Sphyraena barracuda			subtropical	reef-associated marine brackish
Rasbora cephalotaenia	22.0	24.0	tropical	freshwater benthopelagic
Oneirodes thompsoni	2.0	4.0		bathypelagic marine deep-water
Aldrovandia affinis				benthopelagic marine deep-water
Torquigener brevipennis			subtropical	marine demersal
Aspidoparia morar	22.0		tropical	freshwater benthopelagic
Heterotis niloticus	25.0	30.0	tropical	pelagic freshwater
Taaningichthys minimus				bathypelagic marine deep-water oceanodromous
Bathyprion danae				bathypelagic marine deep-water
Rhinogobius giurinus			subtropical	amphidromous freshwater marine brackish demersal
Brama japonica	9.0	21.0	subtropical	pelagic-oceanic oceanodromous marine
Macrochirichthys macrochirus			tropical	freshwater benthopelagic
Colomesus asellus	22.0	28.0	tropical	freshwater demersal
Lampadena atlantica				bathypelagic marine deep-water oceanodromous
Siganus unimaculatus	26.0	28.0	tropical	reef-associated marine
Aesopia cornuta			tropical	reef-associated marine
Balistoides conspicillum			tropical	reef-associated marine brackish
Pseudopentaceros wheeleri			temperate	benthopelagic marine
Polypterus ornatipinnis	26.0	28.0	tropical	freshwater demersal
Polypterus mokelembembe			tropical	freshwater demersal
Pelteobagrus nitidus			temperate	freshwater demersal
Zenopsis nebulosus				benthopelagic marine deep-water
Brachymystax lenok			temperate	anadromous freshwater benthopelagic
Homatula variegatus			subtropical	freshwater demersal
Nothobranchius furzeri	23.0	30.0	tropical	freshwater benthopelagic non-migratory
Aldrichetta forsteri		28.0	temperate	catadromous freshwater marine brackish demersal
Cyprinus carpio	3.0	35.0	subtropical	freshwater benthopelagic brackish potamodromous
Oreoleuciscus potanini	10.0	20.0	temperate	freshwater demersal
Squalidus wolterstorffi			subtropical	freshwater benthopelagic brackish
Tetragonurus atlanticus			subtropical	pelagic-oceanic oceanodromous marine
Ammodytes hexapterus			temperate	benthopelagic oceanodromous marine brackish
Chirocentrus dorab			tropical	amphidromous reef-associated marine brackish
Onychostoma alticorpus			subtropical	freshwater benthopelagic
Ctenopharyngodon idella		35.0	subtropical	freshwater demersal potamodromous
Phenacogrammus interruptus	23.0	26.0	tropical	freshwater benthopelagic
Barbus barbus	10.0	24.0	temperate	freshwater benthopelagic potamodromous
Takifugu obscurus			subtropical	anadromous freshwater marine brackish demersal
Cyprinella spiloptera			temperate	freshwater benthopelagic
Megalops atlanticus			subtropical	amphidromous reef-associated freshwater marine brackish
Setipinna melanochir			tropical	freshwater marine brackish pelagic-neritic
Dimidiochromis compressiceps	22.0	28.0	tropical	freshwater benthopelagic
Microphysogobio koreensis			temperate	freshwater benthopelagic
Stenodus leucichthys			boreal	anadromous freshwater marine brackish demersal
Nessorhamphus ingolfianus				bathypelagic marine deep-water
Pennahia argentata			temperate	benthopelagic oceanodromous marine
Parargyrops edita			subtropical	freshwater brackish demersal
Silurus glanis	4.0	20.0	temperate	freshwater benthopelagic brackish non-migratory
Schizothorax macropogon				freshwater benthopelagic
Acantopsis choirorhynchos			tropical	freshwater brackish demersal
Trypauchen vagina			tropical	amphidromous marine brackish demersal
Heteropneustes fossilis	21.0	25.0	tropical	freshwater brackish demersal
Catla catla	18.0	28.0	subtropical	freshwater benthopelagic brackish potamodromous
Acheilognathus intermedia			temperate	freshwater benthopelagic
Mormyrus rume			tropical	freshwater demersal potamodromous
Conocara murrayi				bathypelagic marine deep-water
Hucho bleekeri			subtropical	freshwater benthopelagic potamodromous
Acheilognathus somjinensis			temperate	freshwater benthopelagic
Lycodes toyamensis			temperate	marine demersal
Lutjanus sebae			tropical	reef-associated marine brackish
Diaphus gigas			temperate	pelagic-oceanic marine
Odax cyanomelas			subtropical	marine pelagic-neritic
Melichthys vidua			tropical	reef-associated marine
Polypterus weeksii			tropical	freshwater demersal
Pseudobalistes flavimarginatus			tropical	reef-associated marine
Emmelichthys struhsakeri			temperate	benthopelagic marine
Halieutaea stellata			tropical	marine demersal
Cottus reinii			temperate	freshwater demersal
Sargocentron rubrum			subtropical	reef-associated marine
Anguilla rostrata	4.0	25.0	subtropical	catadromous freshwater marine brackish demersal
Grasseichthys gabonensis			tropical	freshwater benthopelagic
Pollachius virens			temperate	oceanodromous marine demersal
Heteroconger hassi			tropical	reef-associated marine non-migratory
Cobitis choii			subtropical	freshwater demersal non-migratory
Acreichthys tomentosus			tropical	reef-associated marine non-migratory
Alepocephalus bairdii				bathydemersal marine deep-water
Neolamprologus brichardi	22.0	25.0	tropical	freshwater benthopelagic
Luvarus imperialis			subtropical	pelagic-oceanic oceanodromous marine
Lampadena yaquinae				bathypelagic marine deep-water
Lota lota	4.0	18.0	temperate	freshwater brackish potamodromous demersal
Xiphophorus hellerii	22.0	28.0	tropical	freshwater benthopelagic brackish non-migratory
Phoxinus steindachneri			temperate	freshwater benthopelagic
Brienomyrus brachyistius	25.0	28.0	tropical	freshwater benthopelagic brackish
Homaloptera leonardi			tropical	freshwater demersal
Hemibarbus labeo			temperate	freshwater benthopelagic potamodromous
Makaira indica	15.0	30.0	subtropical	pelagic-oceanic oceanodromous marine
Seriola quinqueradiata			subtropical	oceanodromous marine demersal
Pterygoplichthys disjunctivus			tropical	freshwater demersal
Coreoperca kawamebari	10.0	23.0	temperate	freshwater benthopelagic
Phractolaemus ansorgii	25.0	30.0	tropical	freshwater benthopelagic
Parapristipoma trilineatum			subtropical	benthopelagic oceanodromous marine
Acanthurus leucosternon	23.0	28.0	tropical	reef-associated marine
Nansenia ardesiaca				bathydemersal marine deep-water
Reinhardtius hippoglossoides	-1.0	4.0	boreal	benthopelagic oceanodromous marine
Gyrinomimus myersi				bathypelagic marine deep-water
Canthigaster valentini			tropical	reef-associated marine
Argyrosomus japonicus			tropical	benthopelagic oceanodromous marine brackish
Pseudotropheus crabro	24.0	26.0	tropical	freshwater demersal
Takifugu vermicularis			temperate	marine demersal
Seriola lalandi	18.0	24.0	subtropical	benthopelagic marine brackish
Hexagrammos agrammus			temperate	oceanodromous marine demersal
Eurypegasus draconis			tropical	reef-associated marine brackish
Isichthys henryi	22.0	24.0	tropical	freshwater demersal
Ataxolepis apus			tropical	bathypelagic marine
Onychostoma barbatulum			subtropical	freshwater benthopelagic
Hoplias malabaricus	20.0	26.0	tropical	freshwater benthopelagic potamodromous
Xyrauchen texanus			temperate	freshwater demersal potamodromous
Distichodus sexfasciatus	22.0	26.0	tropical	pelagic freshwater
Puntius chalakkudiensis			tropical	freshwater benthopelagic
Ceratoscopelus maderensis				bathypelagic marine deep-water oceanodromous
Prosopium cylindraceum			temperate	freshwater brackish potamodromous demersal
Zacco platypus	10.0	22.0	subtropical	freshwater benthopelagic
Thunnus tonggol			tropical	oceanodromous marine pelagic-neritic
Xenocypris argentea			subtropical	freshwater benthopelagic
Acipenser schrenckii	10.0	20.0	temperate	anadromous freshwater marine brackish demersal
Heniochus diphreutes			subtropical	reef-associated marine non-migratory
Lepomis cyanellus	18.0	32.0	subtropical	freshwater benthopelagic
Tylerius spinosissimus				bathydemersal marine deep-water
Tenualosa toli			tropical	anadromous freshwater marine brackish pelagic-neritic
Merluccius merluccius			temperate	marine demersal
Apogon semilineatus			tropical	reef-associated marine brackish
Myripristis berndti			tropical	reef-associated marine
Benthosema pterotum				bathypelagic marine deep-water
Leptobotia mantschurica	16.0	20.0	temperate	freshwater demersal non-migratory
Monacanthus chinensis			tropical	reef-associated marine
Tylochromis polylepis			tropical	freshwater demersal
Rhynchopelates oxyrhynchus			tropical	benthopelagic freshwater marine brackish
Diceratias pileatus				bathypelagic marine deep-water
Zu cristatus				bathypelagic marine deep-water
Enoplosus armatus			temperate	reef-associated marine brackish
Luciogobius platycephalus			temperate	marine demersal
Anguilla obscura			tropical	catadromous freshwater marine brackish demersal
Oxuderces dentatus			tropical	amphidromous freshwater brackish demersal
Rinoctes nasutus				bathypelagic marine deep-water
Arothron hispidus	25.0		tropical	reef-associated marine brackish non-migratory
Stemonidium hypomelas				bathypelagic marine deep-water
Thunnus orientalis			subtropical	pelagic-oceanic oceanodromous marine brackish
Arctoscopus japonicus				bathydemersal marine deep-water
Lophius americanus			temperate	oceanodromous marine demersal
Cypselurus hiraii			temperate	marine pelagic-neritic
Thymallus arcticus			temperate	freshwater benthopelagic
Acanthaluteres brownii			subtropical	reef-associated marine
Rhynchactis macrothrix				bathypelagic marine deep-water
Glyptothorax trilineatus	10.0	20.0		freshwater benthopelagic
Larimichthys crocea			temperate	benthopelagic oceanodromous marine brackish
Aphyocypris chinensis			temperate	freshwater benthopelagic
Tropheus duboisi	24.0	26.0	tropical	freshwater demersal
Takifugu rubripes			temperate	non-migratory freshwater marine brackish demersal
Osmerus mordax			temperate	pelagic-oceanic freshwater marine brackish anadromous
Hippocampus comes			tropical	reef-associated marine non-migratory
Callionymus curvicornis			subtropical	freshwater marine brackish demersal
Amphiprion ocellaris			tropical	reef-associated marine non-migratory
Carangoides armatus			tropical	reef-associated marine brackish
Sardinella maderensis	24.0		subtropical	oceanodromous marine brackish pelagic-neritic
Notothenia coriiceps			polar	marine demersal
Hepsetus odoe	26.0	28.0	tropical	freshwater demersal potamodromous
Aulostomus chinensis			tropical	reef-associated marine
Eleutheronema tetradactylum			tropical	amphidromous freshwater marine brackish pelagic-neritic
Ctenolucius hujeta	22.0	25.0	tropical	pelagic freshwater
Siniperca knerii			temperate	freshwater benthopelagic brackish
Citharinus congicus	22.0	26.0	tropical	pelagic freshwater
Scartelaos histophorus			tropical	amphidromous marine brackish demersal
Sphoeroides pachygaster			subtropical	benthopelagic marine
Acheilognathus typus			temperate	freshwater benthopelagic
Siniperca scherzeri			temperate	freshwater benthopelagic brackish
Nealotus tripes				bathypelagic marine deep-water oceanodromous
Liobagrus kingi			temperate	freshwater benthopelagic
Tetraodon biocellatus	22.0	26.0	tropical	freshwater demersal
Melanocetus murrayi				bathypelagic marine deep-water
Scomber scombrus			temperate	oceanodromous marine brackish pelagic-neritic
Neoscopelus microchir				bathypelagic marine deep-water
Cyema atrum				bathypelagic marine deep-water
Leptobarbus hoevenii	23.0	26.0	tropical	pelagic freshwater potamodromous
Canthigaster rivulata			tropical	reef-associated marine
Plotosus japonicus			temperate	benthopelagic marine
Coilia nasus			subtropical	anadromous freshwater marine brackish pelagic-neritic
Microphis brachyurus			tropical	anadromous freshwater marine brackish demersal
Symbolophorus californiensis			subtropical	pelagic-oceanic marine
Huso huso	10.0	20.0	temperate	anadromous freshwater marine brackish demersal
Aplocheilus panchax	20.0	25.0	tropical	freshwater benthopelagic brackish non-migratory
Epinephelus akaara			tropical	reef-associated marine
Crossostoma lacustre			subtropical	freshwater demersal
Pseudaspius leptocephalus			temperate	freshwater benthopelagic
Myctophum orientale				bathypelagic marine deep-water
Pseudopentaceros richardsoni			temperate	pelagic-oceanic marine
Ictalurus punctatus	10.0	32.0	subtropical	freshwater benthopelagic
Microphysogobio brevirostris			subtropical	freshwater benthopelagic
Nettastoma parviceps				benthopelagic marine deep-water
Chilomycterus reticulatus			subtropical	reef-associated marine
Hippoglossus hippoglossus			temperate	oceanodromous marine demersal
Psilorhynchus sucatio	15.0	23.0	subtropical	freshwater demersal
Scatophagus argus	20.0	28.0	tropical	amphidromous reef-associated freshwater marine brackish
Konosirus punctatus			subtropical	oceanodromous marine brackish pelagic-neritic
Schizothorax biddulphi			temperate	freshwater benthopelagic
Carapus bermudensis			tropical	reef-associated marine non-migratory
Euchiloglanis kishinouyei			subtropical	freshwater demersal
Pararasbora moltrechti			subtropical	freshwater benthopelagic
Sardinella albella			tropical	reef-associated marine
Coryphaena equiselis	24.0		subtropical	pelagic-oceanic oceanodromous marine
Spinachia spinachia			temperate	benthopelagic marine brackish non-migratory
