species	temperature_min	temperature_max	climate	environment
Anguilla interioris			tropical	catadromous freshwater marine brackish demersal
Caulophryne jordani				bathypelagic marine deep-water
Dysalotus alcocki				bathypelagic marine deep-water oceanodromous
Epinephelus fuscoguttatus			tropical	reef-associated marine
Spinibarbus denticulatus			subtropical	freshwater benthopelagic
Fundulus grandis	22.0	26.0	tropical	freshwater benthopelagic brackish potamodromous
Stephanolepis cirrhifer			temperate	oceanodromous marine demersal
Peprilus triacanthus			subtropical	benthopelagic oceanodromous marine brackish
Coregonus nasus			polar	anadromous freshwater marine brackish demersal
Takifugu chrysops			temperate	marine demersal
Hyperlophus vittatus			temperate	amphidromous marine brackish pelagic-neritic
Atractosteus spatula			subtropical	freshwater brackish demersal
Sphoeroides parvus			subtropical	marine brackish demersal
Salvelinus fontinalis		25.0	temperate	anadromous freshwater marine brackish demersal
Hemibagrus macropterus			temperate	freshwater demersal
Centrobranchus choerocephalus				bathypelagic marine deep-water
Esox niger	10.0	20.0	temperate	freshwater demersal non-migratory
Pollimyrus adspersus	22.0	24.0	tropical	freshwater demersal
Mylocheilus caurinus			temperate	freshwater brackish demersal
Esox lucius	10.0	28.0	subtropical	freshwater brackish potamodromous demersal
Exocoetus volitans			subtropical	oceanodromous marine pelagic-neritic
Pseudolabrus eoethinus			subtropical	reef-associated marine
Horadandia atukorali	24.0	26.0	tropical	pelagic freshwater brackish
Anoplocapros lenticularis			subtropical	marine demersal
Myctophum nitidulum				bathypelagic marine deep-water oceanodromous
Lagocephalus lunaris			tropical	oceanodromous marine brackish demersal
Salvelinus alpinus	4.0	16.0	temperate	benthopelagic freshwater marine brackish anadromous
Microdevario nana			tropical	freshwater benthopelagic brackish
Mene maculata			tropical	reef-associated marine brackish
Acrossocheilus wenchowensis			subtropical	freshwater benthopelagic brackish
Chlorophthalmus agassizi	5.0	13.0		bathydemersal marine brackish deep-water
Scarus forsteni			tropical	reef-associated marine
Thaumatichthys pagidostomus				bathydemersal marine deep-water
Nematalosa japonica			tropical	benthopelagic marine
Tribolodon hakonensis			temperate	freshwater benthopelagic brackish
Gadus chalcogrammus			polar	benthopelagic marine brackish non-migratory
Simenchelys parasitica	4.0	9.0		bathydemersal marine deep-water
Sciaenops ocellatus			subtropical	oceanodromous marine brackish demersal
Dallia pectoralis	4.0	14.0	boreal	freshwater demersal
Cymatogaster aggregata			subtropical	non-migratory freshwater marine brackish demersal
Acanthopagrus schlegelii			subtropical	marine brackish demersal
Schizothorax richardsonii			tropical	freshwater demersal potamodromous
Cheilochromis euchilus	24.0	26.0	tropical	freshwater benthopelagic non-migratory
Oncorhynchus tshawytscha		25.0	temperate	benthopelagic freshwater marine brackish anadromous
Collichthys lucidus			subtropical	oceanodromous marine demersal
Psilorhynchus homaloptera			tropical	freshwater demersal
Istiophorus platypterus			subtropical	pelagic-oceanic oceanodromous marine
Chilodus punctatus	24.0	28.0	tropical	pelagic freshwater
Bolinichthys distofax				pelagic-oceanic marine non-migratory deep-water
Clupeonella cultriventris			temperate	anadromous freshwater marine brackish pelagic-neritic
Fundulus diaphanus	10.0	25.0	temperate	freshwater benthopelagic brackish non-migratory
Elops hawaiensis			tropical	anadromous freshwater marine brackish pelagic-neritic
Kali indica				bathypelagic marine deep-water
Epinephelus fasciatomaculosus			tropical	reef-associated marine
Distoechodon tumirostris			subtropical	freshwater benthopelagic
Stenobrachius leucopsarus				bathypelagic marine deep-water
Ariomma indica			tropical	benthopelagic oceanodromous marine
Tetraodon palembangensis			tropical	freshwater demersal
Sphoeroides testudineus			subtropical	reef-associated marine brackish
Branchiostegus argentatus			tropical	marine demersal
Procypris rabaudi			subtropical	freshwater benthopelagic
Cephalopholis argus	24.0	28.0	tropical	reef-associated marine non-migratory
Cephalopholis sonnerati			tropical	reef-associated marine non-migratory
Stylephorus chordatus				bathypelagic marine deep-water
Sewellia lineolata			tropical	freshwater demersal
Labeo calbasu			tropical	freshwater brackish potamodromous demersal
Oncorhynchus mykiss	10.0	24.0	subtropical	benthopelagic freshwater marine brackish anadromous
Polypterus ansorgii			tropical	freshwater demersal
Glossanodon semifasciatus			temperate	benthopelagic marine
Anomalops katoptron			tropical	reef-associated marine
Pseudogobius javanicus	23.0	25.0	tropical	amphidromous benthopelagic freshwater marine brackish
Robinsia catherinae			tropical	marine demersal
Gonorynchus greyi			subtropical	marine brackish demersal
Gasterosteus wheatlandi			temperate	benthopelagic marine brackish
Clupeichthys goniognathus			tropical	pelagic freshwater
Takifugu pardalis			temperate	marine demersal
Micropterus salmoides	10.0	32.0	subtropical	freshwater benthopelagic
Rhinomugil nasutus			tropical	pelagic freshwater brackish
Psephurus gladius			subtropical	freshwater demersal potamodromous
Iso hawaiiensis			tropical	reef-associated marine
Takifugu ocellatus			subtropical	anadromous freshwater marine brackish demersal
Solivomer arenidens				benthopelagic marine deep-water
Cyprinodon rubrofluviatilis	10.0	30.0	temperate	freshwater benthopelagic non-migratory
Clinocottus analis			subtropical	marine demersal non-migratory
Acheilognathus yamatsutae			temperate	freshwater benthopelagic
Amblydoras gonzalezi			tropical	freshwater demersal
Psetta maxima			temperate	oceanodromous marine brackish demersal
Boraras maculatus	24.0	26.0	tropical	freshwater benthopelagic
Cynoglossus abbreviatus				marine demersal deep-water
Hemibarbus umbrifer			subtropical	freshwater benthopelagic
Ablennes hians			subtropical	reef-associated oceanodromous marine brackish
Trigonostigma espei	23.0	28.0	tropical	freshwater benthopelagic
Notopterus notopterus	24.0	28.0	tropical	freshwater brackish potamodromous demersal
Pungitius sinensis			temperate	benthopelagic freshwater marine brackish
Opsariichthys bidens	10.0	20.0	temperate	freshwater benthopelagic
Grammatobothus krempfi			tropical	marine demersal
Bagarius yarrelli			tropical	freshwater demersal potamodromous
Tribolodon brandtii	10.0	24.0	temperate	anadromous freshwater marine brackish demersal
Glossogobius olivaceus			temperate	amphidromous freshwater marine brackish demersal
Notoscopelus japonicus				bathypelagic marine deep-water
Hoplostethus japonicus				bathypelagic marine deep-water
Hyperopisus bebe	22.0	24.0	tropical	freshwater brackish potamodromous demersal
Pelagocephalus marki			temperate	marine demersal
Kyphosus cinerascens			tropical	reef-associated marine
Schizothorax waltoni				freshwater benthopelagic
Lateolabrax japonicus			subtropical	catadromous reef-associated freshwater marine brackish
Pseudopungtungia nigra			temperate	freshwater benthopelagic
Apareiodon affinis	22.0	26.0	subtropical	freshwater benthopelagic
Polypterus senegalus	25.0	28.0	tropical	freshwater demersal potamodromous
Collichthys niveatus			subtropical	oceanodromous marine demersal
Engraulis japonicus	8.0	30.0	temperate	oceanodromous marine pelagic-neritic
Acipenser baerii	10.0	20.0	temperate	anadromous freshwater marine brackish demersal
Onychostoma barbatum			subtropical	freshwater benthopelagic
Takifugu stictonotus			temperate	marine demersal
Leporinus affinis	23.0	27.0	tropical	freshwater benthopelagic
Oryzias marmoratus	22.0	25.0	tropical	freshwater benthopelagic non-migratory
Lactoria diaphana			subtropical	reef-associated marine brackish
Harengula jaguana			tropical	reef-associated marine brackish
Jordanella floridae	18.0	22.0	subtropical	freshwater benthopelagic brackish non-migratory
Kaupichthys hyoproroides			subtropical	reef-associated marine
Danio rerio	18.0	24.0	tropical	freshwater benthopelagic
Takifugu snyderi			subtropical	marine demersal
Mastacembelus favus			tropical	freshwater demersal
Ditrema temminckii			temperate	marine demersal
Lebiasina astrigata	22.0	26.0	tropical	freshwater demersal
Apeltes quadracus	4.0	20.0	temperate	benthopelagic freshwater marine brackish
Acheilognathus macropterus	15.0	25.0	subtropical	freshwater benthopelagic brackish
Eutaeniophorus festivus				bathypelagic marine deep-water
Bunocephalus coracoideus	25.0	28.0	tropical	freshwater demersal
Ostichthys japonicus			tropical	reef-associated marine
Mallotus villosus			polar	pelagic-oceanic freshwater marine brackish anadromous
Squalogadus modificatus				bathypelagic marine deep-water
Anguilla malgumora			tropical	catadromous freshwater marine brackish demersal
Pseudobagrus brevicorpus			temperate	freshwater benthopelagic
Ceratias uranoscopus				bathypelagic marine deep-water
Myctophum punctatum				bathypelagic marine deep-water oceanodromous
Oryzias sinensis			tropical	freshwater benthopelagic
Moringua edwardsi			subtropical	reef-associated marine brackish
Coreius heterodon			subtropical	freshwater benthopelagic
Pseudohemiculter dispar			subtropical	freshwater benthopelagic brackish
Lefua echigonia			temperate	freshwater demersal
Luciosoma setigerum			tropical	pelagic freshwater
Denticeps clupeoides	20.0	25.0	tropical	pelagic freshwater
Scomber australasicus			subtropical	oceanodromous marine pelagic-neritic
Salmo salar	2.0	9.0	temperate	benthopelagic freshwater marine brackish anadromous
Barbatula toni			temperate	freshwater demersal
Neosalanx taihuensis			subtropical	freshwater demersal
Krefftichthys anderssoni				bathypelagic marine deep-water oceanodromous
Ventrifossa garmani				bathydemersal marine non-migratory deep-water
Opisthoproctus soleatus				bathypelagic marine deep-water
Pristipomoides multidens			tropical	marine demersal
Triso dermopterus			tropical	marine demersal
Pantodon buchholzi	23.0	30.0	tropical	pelagic freshwater potamodromous
Coloconger cadenati				bathydemersal marine deep-water
Clupanodon thrissa			tropical	anadromous freshwater marine brackish pelagic-neritic
Hypoplectrus gemma			tropical	reef-associated marine
Polyspina piosae			subtropical	benthopelagic marine
Lophiodes caulinaris				marine demersal deep-water
Coreius guichenoti			subtropical	freshwater benthopelagic
Biwia zezera			temperate	freshwater demersal
Trachurus japonicus			tropical	oceanodromous marine pelagic-neritic
Carnegiella strigata	24.0	28.0	tropical	pelagic freshwater
Pangio anguillaris	24.0	26.0	tropical	freshwater demersal
Pseudomonacanthus peroni			tropical	reef-associated marine
Rhodeus uyekii			temperate	freshwater benthopelagic
Psenes pellucidus				bathypelagic marine deep-water
Pungitius kaibarae			temperate	benthopelagic freshwater marine brackish
Balistes vetula	28.0		tropical	reef-associated marine
Neocyttus rhomboidalis				bathypelagic marine deep-water oceanodromous
Perca flavescens		30.0	temperate	freshwater benthopelagic brackish
Electrophorus electricus	23.0	28.0	tropical	freshwater benthopelagic
Oncorhynchus nerka		25.0	temperate	pelagic-oceanic freshwater marine brackish anadromous
Zebrias zebra			tropical	reef-associated marine brackish
Histiopterus typus				reef-associated marine deep-water
Lutjanus malabaricus			tropical	reef-associated marine
Anarhichas lupus			temperate	oceanodromous marine demersal
Lutjanus erythropterus			tropical	reef-associated marine
Salmo trutta	18.0	24.0	subtropical	anadromous freshwater marine brackish pelagic-neritic
Chaunax tosaensis			temperate	marine demersal
Labeo batesii			tropical	freshwater benthopelagic
Ariomma lurida				bathypelagic marine deep-water
Luciobarbus capito			temperate	freshwater benthopelagic brackish
Carassius carassius	2.0	22.0	temperate	freshwater brackish potamodromous demersal
Gymnocypris przewalskii			temperate	freshwater benthopelagic potamodromous
Aspasma minima			subtropical	marine demersal
Ischikauia steenackeri			temperate	freshwater demersal
Caulophryne pelagica				bathypelagic marine deep-water
Porichthys myriaster			subtropical	marine demersal
Clupea pallasii			temperate	non-migratory freshwater marine brackish pelagic-neritic
Gobio gobio	2.0	18.0	temperate	freshwater benthopelagic brackish potamodromous
Anoplopoma fimbria				bathydemersal oceanodromous marine deep-water
Carinotetraodon salivator			tropical	freshwater benthopelagic
Oreoglanis macropterus			tropical	freshwater benthopelagic
Antigonia capros			tropical	marine demersal
Colomesus psittacus	23.0	26.0	tropical	freshwater marine brackish demersal
Coreoleuciscus splendidus			temperate	freshwater demersal
Normichthys operosus				bathypelagic marine deep-water
Kuhlia mugil			tropical	reef-associated marine brackish
Acipenser ruthenus			temperate	freshwater brackish potamodromous demersal
Prosopium williamsoni		23.0	temperate	freshwater benthopelagic
Barilius bendelisis	22.0		tropical	freshwater benthopelagic potamodromous
Parataeniophorus gulosus				bathypelagic marine deep-water
Branchiostegus japonicus			tropical	marine demersal
Diplotaxodon limnothrissa			tropical	pelagic freshwater
Diaphus luetkeni				bathypelagic marine deep-water oceanodromous
Blicca bjoerkna	4.0	20.0	temperate	freshwater brackish potamodromous demersal
Cromeria occidentalis	25.0	30.0	tropical	freshwater benthopelagic
Myxocyprinus asiaticus	15.0	28.0	subtropical	freshwater demersal potamodromous
Barbus trimaculatus	24.0	26.0	tropical	freshwater benthopelagic potamodromous
Antennatus coccineus			tropical	reef-associated marine
Polypterus retropinnis			tropical	freshwater demersal
Cryptopsaras couesii				bathypelagic marine deep-water
Jenkinsia lamprotaenia			subtropical	reef-associated marine
Allocyttus niger				bathypelagic marine deep-water oceanodromous
Schizopygopsis younghusbandi				freshwater benthopelagic
Odaxothrissa losera			tropical	pelagic freshwater
Xanthichthys auromarginatus			tropical	reef-associated marine
Tetraodon nigroviridis	24.0	28.0	tropical	freshwater brackish demersal
Hypoptychus dybowskii			temperate	benthopelagic marine
Cirrhinus mrigala			tropical	freshwater demersal
Coelorinchus kishinouyei	8.0	12.0		bathydemersal marine non-migratory deep-water
Phoxinus eos			temperate	freshwater demersal
Dactyloptena tiltoni				bathydemersal marine deep-water
Epinephelus sexfasciatus			tropical	reef-associated marine
Epinephelus lanceolatus			tropical	reef-associated marine brackish
Gobiobotia naktongensis			temperate	freshwater benthopelagic
Myctophum asperum				bathypelagic marine deep-water oceanodromous
Lophiomus setigerus			tropical	marine demersal
Takifugu exascurus			temperate	marine demersal
Hippocampus trimaculatus			tropical	reef-associated marine non-migratory
Clupeichthys aesarnensis			tropical	pelagic freshwater potamodromous
Alepocephalus productus				bathydemersal marine deep-water
Sarcocheilichthys sinensis	16.0	22.0	temperate	freshwater benthopelagic
Anguilla anguilla	4.0	20.0	temperate	catadromous freshwater marine brackish demersal
Pseudobagrus truncatus			temperate	freshwater benthopelagic
Aethaloperca rogaa			tropical	reef-associated marine non-migratory
Branchiostegus albus			temperate	benthopelagic marine
Tor sinensis			tropical	freshwater benthopelagic potamodromous
Anarhichas denticulatus			polar	benthopelagic oceanodromous marine
Canthidermis maculata			subtropical	reef-associated marine
Johnius belangerii			tropical	amphidromous marine brackish demersal
Triplophysa stoliczkai	16.0	20.0	subtropical	freshwater benthopelagic
Cycleptus elongatus			subtropical	freshwater benthopelagic
Rivulus marmoratus	18.0	24.0	tropical	freshwater benthopelagic brackish non-migratory
Lutjanus argentimaculatus	16.0	30.0	subtropical	reef-associated freshwater marine brackish oceanodromous
Trixiphichthys weberi			tropical	marine demersal
Schizothorax oconnori				freshwater benthopelagic
Oreochromis mossambicus	17.0	35.0	tropical	amphidromous freshwater benthopelagic brackish
Saccopharynx lavenbergi				bathypelagic marine deep-water
Anarchias sp.			subtropical	reef-associated marine
Hyporhamphus sajori			temperate	amphidromous freshwater marine brackish pelagic-neritic
Chanos chanos	15.0	43.0	tropical	amphidromous benthopelagic freshwater marine brackish
Tribolodon sachalinensis			temperate	benthopelagic freshwater marine brackish anadromous
Triplophysa bleekeri			subtropical	freshwater benthopelagic
Microthrissa royauxi			tropical	pelagic freshwater
Paralichthys olivaceus			subtropical	oceanodromous marine demersal
Kareius bicoloratus			temperate	oceanodromous freshwater marine brackish demersal
Hydrolycus scomberoides	24.0	28.0	tropical	freshwater benthopelagic
Sebates schlegeli			temperate	marine demersal
Maulisia mauli				bathypelagic marine deep-water
Puntius ticto	14.0	22.0	subtropical	freshwater benthopelagic brackish potamodromous
Polypterus teugelsi	25.0	27.0	tropical	freshwater demersal
Hemibarbus barbus			temperate	freshwater benthopelagic potamodromous
Pervagor janthinosoma			tropical	reef-associated marine
Lophiogobius ocellicauda			temperate	freshwater demersal
Notoscopelus elongatus			subtropical	pelagic-oceanic oceanodromous marine
Alosa pseudoharengus			temperate	anadromous freshwater marine brackish pelagic-neritic
Megalops cyprinoides	22.0	24.0	tropical	amphidromous benthopelagic freshwater marine brackish
Boleophthalmus pectinirostris	26.0	30.0	tropical	non-migratory freshwater marine brackish demersal
Clupeichthys perakensis			tropical	pelagic freshwater
Garra orientalis			subtropical	freshwater benthopelagic
Ehirava fluviatilis			tropical	amphidromous freshwater marine brackish pelagic-neritic
Pagellus bogaraveo			temperate	benthopelagic marine
Acanthogobius hasta			temperate	amphidromous freshwater marine brackish demersal
Etheostoma radiosum			subtropical	freshwater benthopelagic
Arctogadus glacialis				bathypelagic marine non-migratory deep-water
Microphysogobio longidorsalis			temperate	freshwater benthopelagic
Acheilognathus koreensis			temperate	freshwater benthopelagic
Paedocypris progenetica			tropical	freshwater benthopelagic
Oreochromis niloticus	14.0	33.0	tropical	freshwater benthopelagic brackish potamodromous
Hucho taimen			temperate	freshwater benthopelagic potamodromous
Acanthopagrus latus			tropical	freshwater marine brackish demersal
Tenualosa ilisha			tropical	anadromous freshwater marine brackish pelagic-neritic
Metzia formosae			subtropical	freshwater benthopelagic
Chanodichthys mongolicus	10.0	20.0	subtropical	freshwater benthopelagic
Labeo bata			tropical	freshwater benthopelagic potamodromous
Acipenser sinensis			temperate	anadromous freshwater marine brackish demersal
Hemibarbus longirostris			temperate	freshwater benthopelagic
Chaunax abei			tropical	marine demersal
Sphyraena japonica			temperate	marine pelagic-neritic
Cephalopholis boenak			tropical	reef-associated marine non-migratory
Gadus ogac			polar	oceanodromous marine brackish demersal
Hypophthalmichthys nobilis	4.0	26.0	temperate	freshwater benthopelagic potamodromous
Ostracion immaculatus			temperate	marine demersal
Monotrete cochinchinensis	24.0	28.0	tropical	freshwater demersal
Tetrabrachium ocellatum			tropical	marine demersal
Erimyzon oblongus			subtropical	freshwater demersal
Triplophysa rosa	13.0		subtropical	freshwater demersal
Sprattus antipodum			subtropical	marine pelagic-neritic
Haplophryne mollis				bathypelagic marine deep-water oceanodromous
Danionella mirifica			tropical	freshwater benthopelagic
Aulichthys japonicus			temperate	benthopelagic marine
Gymnoscopelus nicholsi				bathypelagic marine deep-water oceanodromous
Vaillantella maassi			tropical	freshwater demersal
Culter alburnus			temperate	freshwater benthopelagic
Ivindomyrus marchei			tropical	freshwater demersal
Diaphus splendidus				bathypelagic marine deep-water oceanodromous
Meuschenia hippocrepis			temperate	marine demersal
Sprattus muelleri			subtropical	marine pelagic-neritic
Tetrapturus audax	20.0	25.0	subtropical	pelagic-oceanic oceanodromous marine
Dissostichus eleginoides			temperate	pelagic-oceanic oceanodromous marine
Fistularia commersonii			tropical	reef-associated marine
Malapterurus electricus	23.0	30.0	tropical	freshwater benthopelagic potamodromous
Leucaspius delineatus	2.0	32.0	temperate	pelagic freshwater brackish potamodromous
Albula glossodonta			tropical	reef-associated oceanodromous marine brackish
Paramormyrops gabonensis			tropical	freshwater demersal
Triphoturus nigrescens				bathypelagic marine deep-water oceanodromous
Puntius snyderi			subtropical	freshwater benthopelagic
Chaca bankanensis	24.0	28.0	tropical	freshwater demersal
Cottus poecilopus			temperate	freshwater brackish demersal
Carinotetraodon lorteti	24.0	28.0	tropical	freshwater benthopelagic
Psenopsis anomala			tropical	benthopelagic marine
Phoxinus percnurus	15.0	23.0	subtropical	freshwater benthopelagic non-migratory
Pungtungia herzi			temperate	freshwater benthopelagic
Verasper moseri			temperate	marine demersal
Pangasianodon gigas			tropical	freshwater benthopelagic potamodromous
Oncorhynchus masou			temperate	benthopelagic freshwater marine brackish anadromous
Procetichthys kreffti				bathypelagic marine deep-water
Cynotilapia afra	23.0	27.0	tropical	freshwater benthopelagic
Carassius gibelio	10.0	20.0	temperate	freshwater benthopelagic brackish potamodromous
Arothron mappa			tropical	reef-associated marine
Culaea inconstans	4.0	18.0	temperate	freshwater demersal
Hypoatherina tsurugae			temperate	marine pelagic-neritic
Takifugu oblongus			tropical	marine brackish demersal
Ethmidium maculatum			tropical	marine pelagic-neritic
Miichthys miiuy			temperate	oceanodromous marine brackish demersal
Tetraodon miurus	24.0	28.0	tropical	freshwater demersal
Chondrostoma lemmingii			temperate	freshwater benthopelagic
Brachyhypopomus occidentalis	24.0	28.0	tropical	freshwater benthopelagic
Pseudexostoma yunnanensis			temperate	freshwater demersal
Puntius denisonii	15.0	25.0	subtropical	freshwater benthopelagic
Xenodermichthys copei				bathypelagic marine deep-water
Potamalosa richmondia			temperate	catadromous freshwater marine brackish pelagic-neritic
Xenotoca eiseni	15.0	32.0	temperate	freshwater demersal
Petrochromis trewavasae	23.0	25.0	tropical	freshwater benthopelagic
Lobianchia gemellarii				bathypelagic marine deep-water oceanodromous
Rondeletia loricata				bathypelagic marine deep-water
Pellona ditchela			tropical	anadromous freshwater marine brackish pelagic-neritic
Thunnus thynnus	3.0	30.0	subtropical	pelagic-oceanic oceanodromous marine brackish
Paratilapia polleni	24.0	28.0	tropical	freshwater demersal
Parabramis pekinensis	10.0	20.0	temperate	amphidromous freshwater benthopelagic
Istiophorus albicans	21.0	28.0	subtropical	pelagic-oceanic oceanodromous marine
Pterocaesio tile			tropical	reef-associated marine non-migratory
Opsariichthys uncirostris	10.0	22.0	temperate	freshwater benthopelagic
Tanichthys albonubes	18.0	22.0	tropical	freshwater demersal
Barbourisia rufa				bathydemersal marine deep-water
Puck pinnata				bathypelagic marine deep-water
Anodontostoma chacunda			tropical	anadromous freshwater marine brackish pelagic-neritic
Zacco sieboldii			subtropical	freshwater benthopelagic
Amia calva	15.0	20.0	temperate	freshwater demersal
Macroramphosus scolopax			subtropical	marine demersal
Centropyge loricula			tropical	reef-associated marine brackish non-migratory
Ariosoma shiroanago			temperate	marine demersal
Petrotilapia nigra			tropical	freshwater demersal
Coryphaena hippurus	21.0	30.0	subtropical	oceanodromous marine brackish pelagic-neritic
Labeo rohita			tropical	freshwater benthopelagic brackish potamodromous
Scleropages formosus	24.0	30.0	tropical	freshwater benthopelagic
Novumbra hubbsi	4.0	25.0	temperate	freshwater demersal
Micropercops swinhonis	18.0	22.0	subtropical	freshwater demersal
Luciosoma bleekeri			tropical	pelagic freshwater
Pelteobagrus eupogon			temperate	freshwater demersal
Conocara macropterum				bathypelagic marine deep-water
Elops saurus			subtropical	amphidromous reef-associated marine brackish
Zanclus cornutus	24.0	28.0	subtropical	reef-associated marine
Myroconger compressus			tropical	marine demersal
Paraplagusia japonica			tropical	marine demersal
Serrivomer sector				bathypelagic marine deep-water
Oncorhynchus clarkii		23.0	temperate	anadromous freshwater marine brackish demersal
Cataetyx rubrirostris				bathydemersal marine deep-water
Platichthys stellatus			polar	catadromous freshwater marine brackish demersal
Bathytroctes macrolepis				bathypelagic marine deep-water
Rudarius ercodes			temperate	reef-associated oceanodromous marine
Brevimyrus niger	22.0	24.0	tropical	freshwater benthopelagic
Helicolenus avius				bathydemersal marine deep-water
Myrichthys maculosus			tropical	reef-associated marine
Icosteus aenigmaticus				bathypelagic marine deep-water
Gasterosteus aculeatus	4.0	20.0	temperate	benthopelagic freshwater marine brackish anadromous
Derichthys serpentinus				bathypelagic marine deep-water
Electrona antarctica			polar	oceanodromous marine demersal
Facciolella oxyrhyncha			subtropical	marine demersal
Anguilla luzonensis			tropical	catadromous freshwater marine brackish demersal
Pseudogobio esocinus			temperate	freshwater benthopelagic
Epinephelus bruneus			tropical	reef-associated marine
Bathytroctes michaelsarsi				bathypelagic marine deep-water
Lepisosteus osseus	12.0	20.0	temperate	freshwater brackish demersal
Megalobrama amblycephala	10.0	20.0	temperate	freshwater benthopelagic
Parajulis poecilepterus			subtropical	marine demersal
Microcanthus strigatus			tropical	reef-associated oceanodromous marine brackish
Hemibarbus mylodon			temperate	freshwater benthopelagic
Sarotherodon melanotheron	23.0	25.0	tropical	freshwater brackish demersal
Scobinichthys granulatus			temperate	reef-associated marine
Petrocephalus microphthalmus			tropical	freshwater demersal
Gagata dolichonema			tropical	freshwater benthopelagic
Sufflamen fraenatum			tropical	reef-associated oceanodromous marine
Diplomystes nahuelbutaensis			subtropical	freshwater demersal
Sinogastromyzon puliensis	18.0	30.0	subtropical	freshwater demersal
Pleuragramma antarcticum		2.0	polar	pelagic-oceanic marine
Chionodraco myersi				bathydemersal marine deep-water
Ophisurus macrorhynchos			temperate	marine demersal
Marcusenius senegalensis			tropical	freshwater demersal potamodromous
Gobiobotia macrocephala			temperate	freshwater benthopelagic
Hippocampus histrix			tropical	reef-associated marine non-migratory
Alosa alosa			temperate	anadromous freshwater marine brackish pelagic-neritic
Hara jerdoni	18.0	24.0	tropical	freshwater demersal
Lycothrissa crocodilus			tropical	pelagic freshwater brackish potamodromous
Misgurnus nikolskyi			temperate	freshwater demersal
Paracheirodon innesi	20.0	26.0	tropical	pelagic freshwater
Coregonus lavaretus	4.0	16.0	temperate	anadromous freshwater marine brackish demersal
Abramis brama	10.0	24.0	temperate	freshwater benthopelagic brackish potamodromous
Labracoglossa argentiventris			temperate	reef-associated marine
Nelusetta ayraudi			subtropical	marine demersal
Katsuwonus pelamis	15.0	30.0	tropical	pelagic-oceanic oceanodromous marine
Boreogadus saida			polar	oceanodromous marine brackish demersal
